,profiles,kw,count
0,GrindingPoet,people,5
1,,co,5
2,,u,4
3,,shit,4
4,,literally,3
5,,financial,3
6,,someone,3
7,,ur,3
8,,Sandeep,2
9,,singer,2
10,,fake,2
11,,putting,2
12,,whole,2
13,,existence,2
14,,lol,2
15,,5k,2
16,,pee,2
17,,nigga,2
18,,fly,2
19,,probably,2
20,,rebels,2
21,,case,2
22,,goes,2
23,,Celestia,2
24,,thing,2
25,,Dubai,2
26,,RT,2
27,,cowardice,2
28,,genocide,2
29,,ty,1
30,,bully,1
31,,dale,1
32,,bros,1
33,,wait,1
34,,phone,1
35,,apps,1
36,,developed,1
37,,polygon,1
38,,mother,1
39,,womb,1
40,,chance,1
41,,bro,1
42,,sry,1
43,,ily,1
44,,built,1
45,,diff,1
46,,worth,1
47,,salt,1
48,,use,1
49,,Arijit,1
50,,smoke,1
51,,freestyle,1
52,,music,1
53,,established,1
54,,musician,1
55,,crypto,1
56,,educator,1
57,,nice,1
58,,way,1
59,,worthless,1
60,,ratface,1
61,,lmfao,1
62,,thisisksa,1
63,,scammy,1
64,,POS,1
65,,ballsack,1
66,,sweat,1
67,,worthy,1
68,,even,1
69,,commendable,1
70,,job,1
71,,bed,1
72,,tryna,1
73,,flex,1
74,,gets,1
75,,billionaire,1
76,,club,1
77,,look,1
78,,rat,1
79,,drank,1
80,,lizards,1
81,,sold,1
82,,spots,1
83,,bucks,1
84,,selling,1
85,,dreams,1
86,,vulnerable,1
87,,wanna,1
88,,make,1
89,,money,1
90,,hellhole,1
91,,flexing,1
92,,biggest,1
93,,achievement,1
94,,life,1
95,,Economy,1
96,,Spicejet,1
97,,keeping,1
98,,simple,1
99,,girls,1
100,,cup,1
101,,chart,1
102,,XCyQxPLX3Z,1
103,,watch,1
104,,misfits,1
105,,changers,1
106,,realms,1
107,,sucking,1
108,,yet,1
109,,another,1
110,,enemy,1
111,,free,1
112,,world,1
113,,funny,1
114,,TIA,1
115,,CIA,1
116,,operation,1
117,,years,1
118,,project,1
119,,marketing,1
120,,tactic,1
121,,attack,1
122,,bitcoin,1
123,,picture,1
124,,superior,1
125,,died,1
126,,learn,1
127,,realize,1
128,,win,1
129,,others,1
130,,coins,1
131,,projects,1
132,,based,1
133,,xyz,1
134,,bad,1
135,,gud,1
136,,deserve,1
137,,moar,1
138,,Dymension,1
139,,reasonable,1
140,,valuation,1
141,,something,1
142,,400tn,1
143,,base,1
144,,Maybe,1
145,,higher,1
146,,bull,1
147,,better,1
148,,version,1
149,,ethereum,1
150,,account,1
151,,airdrops,1
152,,many,1
153,,circ,1
154,,market,1
155,,cap,1
156,,8bn,1
157,,advice,1
158,,plebs,1
159,,pay,1
160,,personal,1
161,,trainer,1
162,,need,1
163,,hold,1
164,,dick,1
165,,abhi,1
166,,moot,1
167,,dunga,1
168,,tere,1
169,,career,1
170,,par,1
171,,deep,1
172,,connections,1
173,,two,1
174,,mutuals,1
175,,follow,1
176,,really,1
177,,shame,1
178,,connected,1
179,,GTFO,1
180,,high,1
181,,horse,1
182,,irrelevant,1
183,,influence,1
184,,butt,1
185,,99taX85kWm,1
186,,amount,1
187,,self,1
188,,fellatio,1
189,,among,1
190,,nobody,1
191,,celebs,1
192,,astonishing,1
193,,yes,1
194,,poor,1
195,,everyone,1
196,,knows,1
197,,start,1
198,,influenza,1
199,,trading,1
200,,guru,1
201,,pathetic,1
202,,horsepuss,1
203,,inversebrah,1
204,,jVNCkfDpbk,1
205,,Type,1
206,,username,1
207,,gif,1
208,,search,1
209,,see,1
210,,comes,1
211,,U9dY232YMU,1
212,,goodnight,1
213,,future,1
214,,generation,1
215,,feel,1
216,,ashamed,1
217,,calling,1
218,,try,1
219,,find,1
220,,wall,1
221,,hide,1
222,,face,1
223,,ask,1
224,,ethnic,1
225,,cleansing,1
226,,justified,1
227,,encouraged,1
228,,decades,1
229,,line,1
230,,dust,1
231,,history,1
232,,files,1
233,,first,1
234,,notice,1
235,,Israel,1
236,,murdered,1
237,,Palestine,1
238,,populace,1
239,,bombed,1
240,,hospitals,1
241,,refugee,1
242,,camps,1
243,,mocked,1
244,,discriminated,1
245,,tweet,1
246,,omg,1
247,,TZgSQLKh4b,1
