,profiles,kw,count
0,GroupStarship,RT,16
1,,co,9
2,,ethxy,7
3,,cryptopilot16,6
4,,AllYourBaseERC,5
5,,SEXY,5
6,,cryptowseries,3
7,,Isle,3
8,,Conquest,3
9,,30M,2
10,,Obtained,2
11,,Belong,2
12,,YOBASE,2
13,,gt,2
14,,bro,2
15,,day,2
16,,know,2
17,,new,2
18,,game,2
19,,cotcot18,1
20,,Loaded,1
21,,ready,1
22,,move,1
23,,xS4OgThvxO,1
24,,Entry,1
25,,2M,1
26,,programmed,1
27,,time,1
28,,getting,1
29,,accumulate,1
30,,priceless,1
31,,ZPU3i,1
32,,Resource,1
33,,Guide,1
34,,Preview,1
35,,Energy,1
36,,buying,1
37,,Command,1
38,,playing,1
39,,Arena,1
40,,games,1
41,,Food,1
42,,Focus,1
43,,CWS,1
44,,YoNation,1
45,,y1b4ap1yBA,1
46,,450k,1
47,,ATH,1
48,,0x551d0501cd5df92663c3d12c3201c9d70ba79998,1
49,,dh8,1
50,,5M,1
51,,0xc52fafdc900cb92ae01e6e4f8979af7f436e2eb2,1
52,,macTiS6Ls9,1
53,,VentureCoinist,1
54,,Simple,1
55,,yet,1
56,,incredibly,1
57,,helpful,1
58,,lens,1
59,,view,1
60,,bull,1
61,,cycles,1
62,,Bonus,1
63,,points,1
64,,unnecessarily,1
65,,overcomplicate,1
66,,gm,1
67,,J0Ypm6yaPX,1
68,,Congratulations,1
69,,characters,1
70,,completed,1
71,,Weekly,1
72,,Countdown,1
73,,got,1
74,,incredible,1
75,,sword,1
76,,powe,1
77,,0xgaut,1
78,,crypto,1
79,,easy,1
80,,need,1
81,,spend,1
82,,hours,1
83,,twitter,1
84,,years,1
85,,understand,1
86,,FuzzballTrade,1
87,,teaser,1
88,,upcoming,1
89,,mode,1
90,,able,1
91,,produce,1
92,,variety,1
93,,goods,1
94,,GUD,1
95,,entry,1
96,,Let,1
97,,fly,1
98,,nlfuOeSC6V,1
99,,O2J5xBsUfx,1
100,,close,1
101,,drop,1
102,,latest,1
103,,big,1
104,,feature,1
105,,0xc52fafdc900cb92ae01e6e4f8,1
106,,Bitcoin,1
107,,Us,1
108,,7UYcJZPWwe,1
