,profiles,kw,count
0,GyroStable,GYD,3
1,,co,3
2,,RT,2
3,,volume,2
4,,Gyroscope,2
5,,Bonding_Curves,1
6,,Excited,1
7,,announce,1
8,,hosting,1
9,,year,1
10,,first,1
11,,BCRG,1
12,,Open,1
13,,Study,1
14,,Session,1
15,,tecmns,1
16,,Discord,1
17,,server,1
18,,little,1
19,,month,1
20,,Stable,1
21,,usually,1
22,,within,1
23,,bp,1
24,,peg,1
25,,Liquid,1
26,,today,1
27,,surpassing,1
28,,20m,1
29,,total,1
30,,several,1
31,,million,1
32,,market,1
33,,depth,1
34,,risk,1
35,,control,1
36,,autopilot,1
37,,liquidity,1
38,,set,1
39,,next,1
40,,phase,1
41,,growth,1
42,,Stay,1
43,,tuned,1
44,,Te7B8mGzCV,1
45,,AuraFinance,1
46,,TVL,1
47,,GyroStable,1
48,,grew,1
49,,400x,1
50,,receive,1
51,,BAL,1
52,,AURA,1
53,,boosted,1
54,,incentives,1
55,,Swap,1
56,,cumulative,1
57,,E,1
58,,CLP,1
59,,swap,1
60,,surpassed,1
61,,500m,1
62,,USD,1
63,,usAo9XsYn9,1
64,,SXysfJra9M,1
