,profiles,kw,count
0,Hanrgb,co,8
1,,new,3
2,,RT,2
3,,step,2
4,,cryptoart,2
5,,progress,1
6,,f00RYV5TdF,1
7,,Toni_Marinara,1
8,,Hanrgb,1
9,,delicate,1
10,,work,1
11,,titled,1
12,,prop',1
13,,went,1
14,,live,1
15,,open,1
16,,bidding,1
17,,next,1
18,,week,1
19,,PrG,1
20,,K14TpO0Zes,1
21,,Auction,1
22,,link,1
23,,8H2bjOYPgZ,1
24,,ik1Qxx1oiM,1
25,,Prop,1
26,,gbrUYTwG2Q,1
27,,may,1
28,,wrong,1
29,,sound,1
30,,controversial,1
31,,experience,1
32,,term,1
33,,far,1
34,,Excluding,1
35,,kind,1
36,,supportive,1
37,,ones,1
38,,saw,1
39,,majority,1
40,,people,1
41,,accept,1
42,,anyone,1
43,,closed,1
44,,community,1
45,,either,1
46,,judged,1
47,,newcomers,1
48,,care,1
49,,patience,1
50,,R2TIy5EfHX,1
51,,Recently,1
52,,finished,1
53,,graduate,1
54,,degree,1
55,,applications,1
56,,fingers,1
57,,crossed,1
58,,life,1
59,,US,1
60,,ISEpD5jTn3,1
61,,ContractReader,1
62,,Happy,1
63,,year,1
64,,first,1
65,,many,1
66,,things,1
67,,come,1
