,profiles,kw,count
0,HopProtocol,Hop,7
1,,launch,4
2,,co,4
3,,community,3
4,,Linea,3
5,,HOP,3
6,,Excited,2
7,,support,2
8,,chains,2
9,,Discord,2
10,,Join,2
11,,today,2
12,,started,2
13,,token,2
14,,bridge,2
15,,Optimism,2
16,,OP,2
17,,growth,2
18,,RT,1
19,,LineaBuild,1
20,,witness,1
21,,another,1
22,,OnLinea,1
23,,partners,1
24,,HopProtocol,1
25,,collaboration,1
26,,dates,1
27,,back,1
28,,days,1
29,,Big,1
30,,shoutout,1
31,,amazing,1
32,,votes,1
33,,incentives,1
34,,pivotal,1
35,,scaling,1
36,,ecosystem,1
37,,across,1
38,,various,1
39,,EVM,1
40,,Together,1
41,,creating,1
42,,decentralized,1
43,,future,1
44,,Want,1
45,,know,1
46,,secret,1
47,,found,1
48,,hours,1
49,,ago,1
50,,stay,1
51,,ahead,1
52,,curve,1
53,,real,1
54,,time,1
55,,updates,1
56,,TytcGwDALy,1
57,,Questions,1
58,,G7nBcWpt4C,1
59,,thrilled,1
60,,announce,1
61,,expands,1
62,,different,1
63,,coming,1
64,,soon,1
65,,rewards,1
66,,ETH,1
67,,active,1
68,,right,1
69,,moment,1
70,,hAyYBBkVRO,1
71,,Thanks,1
72,,amp,1
73,,grant,1
74,,DAO,1
75,,highlights,1
76,,journey,1
77,,far,1
78,,sybil,1
79,,work,1
80,,recovered,1
81,,Airdrop,1
82,,boosted,1
83,,distributed,1
84,,250k,1
85,,w,1
86,,fee,1
87,,refund,1
88,,mechanism,1
89,,mutual,1
90,,Polygon,1
91,,zkEVM,1
92,,live,1
93,,getting,1
94,,DcJSQ5cBT8,1
