,profiles,kw,count
0,JumperExchange,co,18
1,,Jumper,7
2,,chain,6
3,,cross,4
4,,swaps,3
5,,Bridge,3
6,,Swap,3
7,,RT,3
8,,deposit,3
9,,FEES,2
10,,time,2
11,,across,2
12,,today,2
13,,Galxe,2
14,,community,2
15,,follow,2
16,,gm,2
17,,space,2
18,,sDAI,2
19,,Ethereum,2
20,,xDAI,2
21,,Gnosis,2
22,,via,2
23,,swap,2
24,,DAI,2
25,,bridge,2
26,,JumperExchange,2
27,,lifiprotocol,2
28,,Data,2
29,,gt,2
30,,transaction,2
31,,LITERALLY,1
32,,charge,1
33,,give,1
34,,best,1
35,,rates,1
36,,Show,1
37,,fastest,1
38,,10s,1
39,,bridges,1
40,,free,1
41,,believe,1
42,,hot,1
43,,rn,1
44,,g9dvB6O8b7,1
45,,9jG9WBFrgz,1
46,,excited,1
47,,part,1
48,,New,1
49,,Year,1
50,,Festival,1
51,,amount,1
52,,asset,1
53,,Arbitrum,1
54,,earn,1
55,,exclusive,1
56,,OAT,1
57,,chance,1
58,,win,1
59,,extra,1
60,,rewards,1
61,,Pr5MOhvav6,1
62,,YNzK2zLlTd,1
63,,cycle,1
64,,srsly,1
65,,though,1
66,,buy,1
67,,TIR8t0vVOW,1
68,,Ayo,1
69,,join,1
70,,share,1
71,,favourite,1
72,,route,1
73,,fellow,1
74,,thing,1
75,,7ztRG6D0Eh,1
76,,aight,1
77,,im,1
78,,stopping,1
79,,gVcq0j424T,1
80,,Drop,1
81,,comments,1
82,,back,1
83,,OG,1
84,,members,1
85,,GPemrW5Fr2,1
86,,creating,1
87,,SoQuest,1
88,,Port3Network,1
89,,Visit,1
90,,0Xs253CWgT,1
91,,Manifesting,1
92,,Solana,1
93,,launch,1
94,,BpMb9J3vKi,1
95,,Thicc,1
96,,flows,1
97,,gnosischain,1
98,,rolling,1
99,,whale,1
100,,swapped,1
101,,6M,1
102,,tvMpOBfaUh,1
103,,simple,1
104,,breakdown,1
105,,1inch,1
106,,CBkmO0m1TW,1
107,,Subli_Defi,1
108,,muNuZpl0E3,1
109,,0xmercle,1
110,,8OpU6GRkzS,1
111,,integration,1
112,,EnsoFinance,1
113,,API,1
114,,running,1
115,,powering,1
116,,JumperExchang,1
117,,Wrapped,1
118,,NFT,1
119,,updated,1
120,,claimed,1
121,,click,1
122,,stats,1
123,,see,1
124,,previous,1
125,,transactions,1
126,,chains,1
127,,tokens,1
128,,bridging,1
129,,2kquxSwfe1,1
130,,0xJord4n,1
131,,fact,1
132,,solana,1
133,,soon,1
134,,live,1
135,,makes,1
136,,happy,1
137,,wRLuqbjko0,1
138,,Deposit,1
139,,one,1
140,,Try,1
141,,JHThH2bZlB,1
142,,teamed,1
143,,PoolTogether_,1
144,,token,1
145,,directly,1
146,,V5,1
147,,vaults,1
148,,optimsimFND,1
149,,single,1
150,,users,1
151,,interest,1
152,,accumulates,1
153,,randomly,1
154,,distributed,1
155,,prizes,1
156,,q9UN0sgT78,1
