,profiles,kw,count
0,KOMPETEgame,co,23
1,,RT,23
2,,KOMPETEgame,17
3,,KOMPETE,12
4,,game,8
5,,night,5
6,,play,5
7,,fun,4
8,,LFK,4
9,,Kompete,4
10,,playing,4
11,,Full,3
12,,ScorpionVGaming,3
13,,last,3
14,,one,3
15,,web3,3
16,,Download,2
17,,link,2
18,,bio,2
19,,Improved,2
20,,Super,2
21,,CheckzCrypto,2
22,,Yin_NGMI,2
23,,end,2
24,,FREE,2
25,,cosmetic,2
26,,check,2
27,,time,2
28,,Game,2
29,,McCheesyETH,2
30,,Youtube,2
31,,PaisanGaming,2
32,,played,2
33,,everyone,2
34,,First,2
35,,player,2
36,,Knock,2
37,,v0,1
38,,released,1
39,,Notable,1
40,,changes,1
41,,Finished,1
42,,helicopter,1
43,,interior,1
44,,Updated,1
45,,size,1
46,,randomness,1
47,,safe,1
48,,circle,1
49,,Added,1
50,,report,1
51,,system,1
52,,performance,1
53,,amp,1
54,,optimization,1
55,,ability,1
56,,use,1
57,,controller,1
58,,2MNd0eytyw,1
59,,patch,1
60,,notes,1
61,,OuAkSZw9Jr,1
62,,nNaSJ8EXO8,1
63,,Hour,1
64,,session,1
65,,till,1
66,,4am,1
67,,Clip,1
68,,games,1
69,,crazy,1
70,,Web3Gaming,1
71,,Ycni1Ewe4L,1
72,,Probably,1
73,,best,1
74,,airdrops,1
75,,Free,1
76,,battle,1
77,,pass,1
78,,weapon,1
79,,skins,1
80,,Introducing,1
81,,PlaytoAirdrop,1
82,,month,1
83,,receive,1
84,,signing,1
85,,PC,1
86,,Android,1
87,,Earn,1
88,,XP,1
89,,points,1
90,,unlock,1
91,,others,1
92,,zTg5rpOFX5,1
93,,10fbsl2JjG,1
94,,Want,1
95,,latest,1
96,,updates,1
97,,alpha,1
98,,monthly,1
99,,State,1
100,,Game',1
101,,BEST,1
102,,place,1
103,,caught,1
104,,speed,1
105,,deep,1
106,,dive,1
107,,AMA,1
108,,Spaces,1
109,,highlights,1
110,,new,1
111,,blog,1
112,,post,1
113,,Mu8NsNz1Da,1
114,,0xJesusMartinez,1
115,,Battle,1
116,,Royale,1
117,,TOP,1
118,,Mobile,1
119,,Crypto,1
120,,Pick,1
121,,Month,1
122,,CryptoStache,1
123,,Going,1
124,,LIVE,1
125,,GIA_Agents,1
126,,weekly,1
127,,GIA,1
128,,Nite,1
129,,Come,1
130,,join,1
131,,us,1
132,,Discord,1
133,,htt,1
134,,trying,1
135,,players,1
136,,wearing,1
137,,goat,1
138,,shirts,1
139,,FoEF2V0AFY,1
140,,Fun,1
141,,video,1
142,,6BsxL6d2az,1
143,,uo,1
144,,Roadmap,1
145,,details,1
146,,phase,1
147,,recent,1
148,,Space,1
149,,380jse9EgW,1
150,,eO7byYiEtO,1
151,,telling,1
152,,top,1
153,,amount,1
154,,content,1
155,,make,1
156,,around,1
157,,insane,1
158,,SpikeCollects,1
159,,xDexterCrypto,1
160,,looking,1
161,,KOPMETE,1
162,,Shrapnite,1
163,,Giveaways,1
164,,Twitch,1
165,,KnzHZIz911,1
166,,Play,1
167,,smart,1
168,,hard,1
169,,Web3,1
170,,Web3gaming,1
171,,Px7GsdPiB8,1
172,,theCPTFIVE,1
173,,theLake_Geezus,1
174,,showing,1
175,,Crypto__zard,1
176,,dominating,1
177,,people,1
178,,much,1
179,,Iv,1
180,,started,1
181,,role,1
182,,killing,1
183,,W,1
184,,many,1
185,,SPEEDYHANDYT,1
186,,mobile,1
187,,vs,1
188,,pc,1
189,,awesome,1
190,,jYIcYMovr0,1
191,,KP5ive,1
192,,grinding,1
193,,ingame,1
194,,leaderboard,1
195,,years,1
196,,LjTf15Xj7t,1
197,,DoYOUF33L,1
198,,Loading,1
199,,Best,1
200,,seen,1
201,,far,1
202,,lGCIVw5vWi,1
203,,DastroBTW,1
204,,LOOOOVE,1
205,,cosmetics,1
206,,backed,1
207,,Token,1
208,,zyrickonline,1
209,,homies,1
210,,want,1
211,,fight,1
212,,team,1
213,,blitz,1
214,,royale,1
215,,pa,1
216,,Long,1
217,,grind,1
218,,Lots,1
219,,cool,1
220,,People,1
221,,evening,1
222,,pJtE,1
223,,Baserock6,1
224,,GOATED,1
225,,YUx1j61zVt,1
226,,HnCQz8Jprz,1
227,,Late,1
228,,Shrapnel,1
229,,Extraction,1
230,,Giveaway,1
231,,IK3uNV342W,1
232,,inhuman,1
233,,recently,1
234,,1VLg3F8e1V,1
