,profiles,kw,count
0,KanpaiPandas,RT,18
1,,co,9
2,,icebagz_,8
3,,KanpaiPandas,7
4,,trait,3
5,,OverDogsPodcast,3
6,,head,2
7,,marketplace,2
8,,Panda,2
9,,favorite,2
10,,traits,2
11,,one,2
12,,watch,2
13,,full,2
14,,gold,2
15,,top,2
16,,project,2
17,,Please,2
18,,gh0stlygh0sts,2
19,,StargateFinance,2
20,,eyes,2
21,,ready,1
22,,Rolling,1
23,,Loud,1
24,,California,1
25,,LoudPunx,1
26,,Passes,1
27,,available,1
28,,raffle,1
29,,section,1
30,,Hnt4P1bDKK,1
31,,interested,1
32,,attending,1
33,,amp,1
34,,use,1
35,,Points,1
36,,enter,1
37,,yggT89fEYS,1
38,,thread,1
39,,swapping,1
40,,Add,1
41,,fact,1
42,,soon,1
43,,able,1
44,,buy,1
45,,sell,1
46,,selling,1
47,,5e,1
48,,already,1
49,,bearish,1
50,,EQDQztINSS,1
51,,partnered,1
52,,legends,1
53,,OverDogsBet,1
54,,official,1
55,,sponsor,1
56,,Sign,1
57,,proud,1
58,,team,1
59,,much,1
60,,incredible,1
61,,stuff,1
62,,dropping,1
63,,next,1
64,,months,1
65,,lbi_trader,1
66,,might,1
67,,builds,1
68,,new,1
69,,Cant,1
70,,tell,1
71,,paper,1
72,,view,1
73,,normal,1
74,,eit,1
75,,cookiecrumblerz,1
76,,fresh,1
77,,clean,1
78,,Welcome,1
79,,family,1
80,,froggypack,1
81,,elnYWaK4le,1
82,,PlatinumPerry,1
83,,Click,1
84,,link,1
85,,episode,1
86,,fights,1
87,,Saturday,1
88,,Fyp,1
89,,Combat,1
90,,Podcast,1
91,,Overdogs,1
92,,IyEb,1
93,,Crypto_PandaP,1
94,,New,1
95,,look,1
96,,king,1
97,,pandas,1
98,,Thanks,1
99,,RealKrulKarol,1
100,,help,1
101,,ranked,1
102,,pa,1
103,,Kanpai,1
104,,Media,1
105,,rocking,1
106,,biggest,1
107,,stars,1
108,,planet,1
109,,single,1
110,,week,1
111,,visible,1
112,,outside,1
113,,w,1
114,,drained,1
115,,scams,1
116,,guys,1
117,,never,1
118,,drop,1
119,,something,1
120,,without,1
121,,telling,1
122,,Use,1
123,,ht,1
124,,edigreg,1
125,,gm,1
126,,arQokNyyYC,1
127,,kayyjoness36,1
128,,pink,1
129,,puffers,1
130,,hit,1
131,,different,1
132,,bingooo24,1
133,,a3KUJYH6mS,1
134,,EffenCrypto,1
135,,FroggyCyborg,1
136,,z8P5ureMCH,1
137,,loved,1
138,,seeing,1
139,,gh0stly,1
140,,gh0st,1
141,,Amazing,1
142,,job,1
143,,FroggyCybo,1
144,,One,1
145,,podcast,1
146,,gotten,1
147,,us,1
148,,successful,1
149,,shows,1
150,,q2,1
151,,driving,1
152,,attention,1
153,,Ove,1
154,,lunatic_farmer,1
155,,Escape,1
156,,Michigan,1
157,,blizzard,1
158,,Gladly,1
159,,take,1
160,,little,1
161,,overcast,1
162,,Florida,1
163,,beach,1
164,,life,1
165,,184k,1
166,,risk,1
167,,free,1
168,,holding,1
169,,panda,1
170,,Literally,1
171,,comes,1
172,,close,1
173,,Dana,1
174,,White,1
175,,Mike,1
176,,Perry,1
177,,says,1
178,,UFC,1
179,,EXEC,1
180,,convo,1
181,,EY0AgmMW5P,1
