,profiles,kw,count
0,KingKongShearer,RT,7
1,,co,4
2,,0xhoneyjar,2
3,,BeratoneGame,2
4,,NFT,2
5,,Reveal,2
6,,BeraRodman,1
7,,Think,1
8,,Bera,1
9,,becomes,1
10,,innovation,1
11,,hub,1
12,,NFTfi,1
13,,yet,1
14,,NFTs,1
15,,deeply,1
16,,engrained,1
17,,within,1
18,,network,1
19,,gud,1
20,,LyVWYK6aeX,1
21,,Launch,1
22,,Details,1
23,,Trailer,1
24,,Event,1
25,,Learn,1
26,,Founder,1
27,,Sailcloth,1
28,,upcoming,1
29,,traile,1
30,,Honeycomb,1
31,,believes,1
32,,time,1
33,,real,1
34,,business,1
35,,talk,1
36,,thrilled,1
37,,announce,1
38,,new,1
39,,THJ,1
40,,DEAL,1
41,,SHEET,1
42,,series,1
43,,sh,1
44,,Dailyairdrop3,1
45,,Moneycombs,1
46,,4lsoBaprGI,1
47,,JAN,1
48,,fast,1
49,,approaching,1
50,,expect,1
51,,big,1
52,,event,1
53,,BeraTone,1
54,,reveal,1
55,,trailer,1
56,,Deep,1
57,,dive,1
58,,B,1
59,,wtf,1
60,,plug,1
61,,dis,1
62,,guy,1
63,,gets,1
64,,gotta,1
65,,Klondike,1
66,,maxing,1
67,,deepname99,1
68,,lets,1
69,,grow,1
70,,ogNihF09oa,1
71,,HJRS3FkzJu,1
