,profiles,kw,count
0,KriyaDEX,co,8
1,,RT,6
2,,Season,3
3,,volume,3
4,,Sui,3
5,,gt,3
6,,sui,3
7,,KriyaDEX,3
8,,discord,2
9,,Chakra,2
10,,KRIYA,2
11,,day,2
12,,SuiNetwork,2
13,,next,2
14,,intern,2
15,,safety,2
16,,us,2
17,,DavidTiczon,2
18,,India,2
19,,Read,1
20,,blog,1
21,,details,1
22,,scoring,1
23,,ranking,1
24,,logic,1
25,,ysOf9cha0O,1
26,,Swap,1
27,,best,1
28,,prices,1
29,,easJ4ZKRMV,1
30,,Drop,1
31,,doubts,1
32,,646KWLrqbt,1
33,,BuildOnSui,1
34,,successful,1
35,,completion,1
36,,pleased,1
37,,announce,1
38,,Campaign,1
39,,starts,1
40,,today,1
41,,distributed,1
42,,reward,1
43,,pool,1
44,,shared,1
45,,amongst,1
46,,top,1
47,,traders,1
48,,2x,1
49,,points,1
50,,swap,1
51,,VzlYziNZBV,1
52,,qWzZsc0heq,1
53,,defi_dwivedi,1
54,,got,1
55,,banger,1
56,,space,1
57,,0xairtx,1
58,,rabeelj_,1
59,,getting,1
60,,bullish,1
61,,defi,1
62,,everyday,1
63,,Warning,1
64,,devasta,1
65,,finds,1
66,,time,1
67,,weekend,1
68,,add,1
69,,checks,1
70,,around,1
71,,Holding,1
72,,analytics,1
73,,Take,1
74,,Steps,1
75,,towards,1
76,,improving,1
77,,accuracy,1
78,,data,1
79,,unicrypt,1
80,,standard,1
81,,LP,1
82,,burning,1
83,,tough,1
84,,identify,1
85,,directly,1
86,,Tg,1
87,,bot,1
88,,Let,1
89,,know,1
90,,features,1
91,,memecoins,1
92,,buy,1
93,,sell,1
94,,taxes,1
95,,etc,1
96,,Join,1
97,,jamming,1
98,,ideas,1
99,,alpha,1
100,,TuCdLHC2Uu,1
101,,new,1
102,,cooked,1
103,,sniffer,1
104,,tool,1
105,,keep,1
106,,safe,1
107,,ape,1
108,,saw,1
109,,trailer,1
110,,real,1
111,,szn,1
112,,set,1
113,,wealth,1
114,,creators,1
115,,rug,1
116,,pullers,1
117,,DYORing,1
118,,option,1
119,,O8gqOyEIQz,1
120,,use,1
121,,ArXy218Dwy,1
122,,Suinami,1
123,,farms,1
124,,refilled,1
125,,digit,1
126,,APYs,1
127,,SUI,1
128,,back,1
129,,USD,1
130,,worth,1
131,,incentives,1
132,,LPs,1
133,,beverage,1
134,,leverage,1
135,,went,1
136,,really,1
137,,yoga,1
138,,Going,1
139,,enlightenment,1
140,,Attention,1
141,,Kriya,1
142,,fam,1
143,,ends,1
144,,tonight,1
145,,Final,1
146,,snapshot,1
147,,midnight,1
148,,GMT,1
149,,Last,1
150,,chance,1
151,,grind,1
152,,300M,1
153,,TVL,1
154,,achieved,1
155,,among,1
156,,blockchains,1
157,,destination,1
158,,bridged,1
159,,assets,1
