,profiles,kw,count
0,KryptonProtocol,co,3
1,,hero,2
2,,Discord,2
3,,private,2
4,,beta,2
5,,world,1
6,,finance,1
7,,liberated,1
8,,many,1
9,,traders,1
10,,shackled,1
11,,financial,1
12,,malevolence,1
13,,yearn,1
14,,Krypton,1
15,,solves,1
16,,crushing,1
17,,economic,1
18,,costs,1
19,,continue,1
20,,plague,1
21,,trade,1
22,,finally,1
23,,levels,1
24,,playing,1
25,,field,1
26,,6sZDkUOeVr,1
27,,sure,1
28,,join,1
29,,stay,1
30,,date,1
31,,new,1
32,,advancements,1
33,,releases,1
34,,access,1
35,,team,1
36,,questions,1
37,,19g8bYYoTU,1
38,,signups,1
39,,grown,1
40,,already,1
41,,interested,1
42,,protecting,1
43,,trades,1
44,,utilizing,1
45,,best,1
46,,trading,1
47,,platform,1
48,,DeFi,1
49,,sign,1
50,,wanna,1
51,,miss,1
52,,pQIRVDmZ7W,1
