,profiles,kw,count
0,Lamina1official,co,6
1,,LAMINA1,4
2,,Creator,3
3,,amp,3
4,,AMA,3
5,,Today,2
6,,Studio,2
7,,week,2
8,,via,1
9,,PlayToEarn,1
10,,Unveils,1
11,,Cutting,1
12,,Edge,1
13,,user,1
14,,friendly,1
15,,interface,1
16,,independently,1
17,,upload,1
18,,publish,1
19,,share,1
20,,NFT,1
21,,multimedia,1
22,,items,1
23,,YHA7mjgpb2,1
24,,Attention,1
25,,builders,1
26,,Things,1
27,,whole,1
28,,lot,1
29,,creative,1
30,,Hub,1
31,,Quests,1
32,,dedicated,1
33,,new,1
34,,testing,1
35,,together,1
36,,end,1
37,,next,1
38,,started,1
39,,earn,1
40,,XP,1
41,,TVlgrzpCNi,1
42,,lV8B6y5rZ1,1
43,,recording,1
44,,live,1
45,,YouTube,1
46,,2ryBpY0mPN,1
47,,Thank,1
48,,jradoff,1
49,,L1,1
50,,community,1
51,,members,1
52,,joining,1
53,,2pm,1
54,,PST,1
55,,join,1
56,,Beamable,1
57,,Jon,1
58,,Radoff,1
59,,dive,1
60,,deep,1
61,,topic,1
62,,interoperability,1
63,,means,1
64,,openmetaverse,1
65,,creators,1
66,,info,1
67,,Discord,1
68,,eiZ33ReBpY,1
69,,zVIZIydhIT,1
