,profiles,kw,count
0,LineaBuild,co,15
1,,OnLinea,8
2,,NFT,5
3,,event,5
4,,Linea,5
5,,Join,4
6,,Voyage,4
7,,Monday,3
8,,amp,3
9,,part,3
10,,population,3
11,,web3,3
12,,Learn,3
13,,excited,3
14,,Ethereum,3
15,,Welcome,3
16,,data,3
17,,amazing,3
18,,Support,3
19,,Proof,2
20,,receive,2
21,,Unfettered,2
22,,Ecosystem,2
23,,designed,2
24,,days,2
25,,chat,2
26,,team,2
27,,live,2
28,,know,2
29,,world,2
30,,large,2
31,,meetup,2
32,,Full,2
33,,vid,2
34,,Mendi,2
35,,phase,2
36,,plan,2
37,,token,2
38,,holders,2
39,,us,2
40,,Build,2
41,,India,2
42,,Bangalore,2
43,,Dencun,2
44,,tH21oe9SgP,2
45,,Check,2
46,,friends,2
47,,launch,2
48,,dates,2
49,,chain,2
50,,inscriptions,2
51,,learn,2
52,,projects,2
53,,CAKE,2
54,,Find,2
55,,Waypoint,2
56,,wallet,2
57,,next,2
58,,EIP,2
59,,drastically,2
60,,want,2
61,,Decubate,2
62,,Reminder,1
63,,Please,1
64,,complete,1
65,,Humanity,1
66,,order,1
67,,LXP,1
68,,Exclusive,1
69,,participants,1
70,,specially,1
71,,created,1
72,,Limited,1
73,,supply,1
74,,grab,1
75,,unveils,1
76,,unique,1
77,,Liane,1
78,,character,1
79,,exclusively,1
80,,lifetime,1
81,,burning,1
82,,questions,1
83,,AMA,1
84,,Reply,1
85,,tweet,1
86,,queries,1
87,,let,1
88,,adventure,1
89,,unfold,1
90,,4qHDfZq5HT,1
91,,Gear,1
92,,adventurers,1
93,,left,1
94,,epic,1
95,,XLP,1
96,,rewarded,1
97,,w,1
98,,unfetteredgame,1
99,,Discord,1
100,,UTC,1
101,,9am,1
102,,ET,1
103,,watch,1
104,,take,1
105,,formidable,1
106,,bosses,1
107,,Save,1
108,,date,1
109,,action,1
110,,dXANdIZzax,1
111,,Pakistan,1
112,,5th,1
113,,largest,1
114,,median,1
115,,age,1
116,,arzishazam,1
117,,talks,1
118,,young,1
119,,working,1
120,,prime,1
121,,ground,1
122,,emerging,1
123,,tech,1
124,,FutureFestPK,1
125,,OolaufDiAa,1
126,,nrl2V69AXH,1
127,,Let,1
128,,hang,1
129,,announced,1
130,,decentralize,1
131,,proud,1
132,,advise,1
133,,decentralization,1
134,,protocol,1
135,,establish,1
136,,DAO,1
137,,give,1
138,,decision,1
139,,making,1
140,,ICYMI,1
141,,great,1
142,,DesigLabs,1
143,,future,1
144,,DeFi,1
145,,Catch,1
146,,replay,1
147,,Jr8502PelO,1
148,,farcaster_xyz,1
149,,Give,1
150,,follow,1
151,,plz,1
152,,ac10Opf2em,1
153,,Decentralized,1
154,,Bike,1
155,,Sharing,1
156,,Network,1
157,,IoTeX,1
158,,EyTAgSvufZ,1
159,,minutes,1
160,,Alyasa,1
161,,lumoslabsHQ,1
162,,dishes,1
163,,things,1
164,,crypto,1
165,,culture,1
166,,huge,1
167,,potential,1
168,,engineering,1
169,,means,1
170,,Register,1
171,,dfisg8ir4D,1
172,,aX9lQlWx3v,1
173,,latest,1
174,,update,1
175,,Lyve,1
176,,Finance,1
177,,Lots,1
178,,come,1
179,,Excited,1
180,,witness,1
181,,another,1
182,,partners,1
183,,HopProtocol,1
184,,collaboration,1
185,,back,1
186,,even,1
187,,named,1
188,,continuing,1
189,,journey,1
190,,growth,1
191,,innovation,1
192,,together,1
193,,Want,1
194,,Carpenter,1
195,,marketplace,1
196,,docs,1
197,,carp,1
198,,going,1
199,,big,1
200,,year,1
201,,gaming,1
202,,showcase,1
203,,fun,1
204,,veCAKE,1
205,,empower,1
206,,increased,1
207,,governance,1
208,,influence,1
209,,boost,1
210,,liquidity,1
211,,across,1
212,,pools,1
213,,supercharge,1
214,,rewards,1
215,,stakers,1
216,,Jan,1
217,,30PM,1
218,,IST,1
219,,lumoslabshq,1
220,,network,1
221,,builders,1
222,,developers,1
223,,scaling,1
224,,growing,1
225,,ecosystem,1
226,,Sign,1
227,,link,1
228,,Keep,1
229,,eye,1
230,,Twitter,1
231,,v4QrHPLtz7,1
232,,page,1
233,,add,1
234,,locations,1
235,,events,1
236,,scalability,1
237,,Announcing,1
238,,taking,1
239,,IRL,1
240,,Waypoints,1
241,,around,1
242,,drop,1
243,,gas,1
244,,fees,1
245,,worth,1
246,,celebrating,1
