,profiles,kw,count
0,MaestroBots,MaestroBots,4
1,,ETH,3
2,,co,3
3,,trade,2
4,,Step,2
5,,Obtaining,2
6,,Referral,2
7,,Link,2
8,,Bot,2
9,,RT,1
10,,DEXLIONScom,1
11,,Lions,1
12,,aboard,1
13,,Meme,1
14,,volume,1
15,,back,1
16,,Congrats,1
17,,user,1
18,,x100,1
19,,Primary,1
20,,Main,1
21,,FERRET,1
22,,Initial,1
23,,Worth,1
24,,Time,1
25,,elapsed,1
26,,7h,1
27,,45m,1
28,,50s,1
29,,Price,1
30,,MC,1
31,,1m,1
32,,GWEI,1
33,,Ξ,1
34,,CA,1
35,,Balance,1
36,,14BHFfTQTZ,1
37,,Guide,1
38,,simple,1
39,,efficient,1
40,,process,1
41,,Access,1
42,,First,1
43,,visit,1
44,,Maestro,1
45,,Telegram,1
46,,going,1
47,,SjUgbWPeUF,1
48,,I8py21adIV,1
