,profiles,kw,count
0,MetaMask,co,9
1,,MetaMask,6
2,,security,5
3,,Bridge,4
4,,always,3
5,,staking,3
6,,Snap,2
7,,Snaps,2
8,,wallet,2
9,,protect,2
10,,us,2
11,,run,2
12,,node,2
13,,rewards,2
14,,Consensys,2
15,,Portfolio,2
16,,Validator,2
17,,RT,2
18,,Socket,2
19,,users,2
20,,SocketDotTech,2
21,,Quick,1
22,,Intel,1
23,,performs,1
24,,scans,1
25,,DEX,1
26,,offer,1
27,,real,1
28,,time,1
29,,token,1
30,,risk,1
31,,analysis,1
32,,across,1
33,,blockchains,1
34,,Phishing,1
35,,database,1
36,,checks,1
37,,demand,1
38,,OIABrz0rro,1
39,,TM,1
40,,ChainSafer,1
41,,provides,1
42,,advanced,1
43,,blockchain,1
44,,AI,1
45,,powered,1
46,,algorithms,1
47,,proactively,1
48,,detect,1
49,,alert,1
50,,suspicious,1
51,,activities,1
52,,Transaction,1
53,,simulation,1
54,,Seamless,1
55,,integration,1
56,,zQj2n9Iqp6,1
57,,top,1
58,,priority,1
59,,Explore,1
60,,world,1
61,,customized,1
62,,experience,1
63,,foxysecurity,1
64,,vhvpHU9FZy,1
65,,fox,1
66,,live,1
67,,farcaster_xyz,1
68,,Give,1
69,,follow,1
70,,iiPhKVaduD,1
71,,securely,1
72,,streamlining,1
73,,reducing,1
74,,risks,1
75,,slashing,1
76,,downtime,1
77,,Powered,1
78,,setting,1
79,,Ethereum,1
80,,validator,1
81,,easier,1
82,,via,1
83,,i3lpoCVgfn,1
84,,Hungry,1
85,,Head,1
86,,FAQs,1
87,,comprehensive,1
88,,deep,1
89,,dive,1
90,,tDVw6daXfJ,1
91,,Introducing,1
92,,Staking,1
93,,ETH,1
94,,deposit,1
95,,control,1
96,,pooling,1
97,,hardware,1
98,,rmCtgs86WO,1
99,,R8VRttP2XX,1
100,,0xjack_,1
101,,AFAIK,1
102,,integrator,1
103,,kept,1
104,,end,1
105,,safe,1
106,,hack,1
107,,accomplished,1
108,,two,1
109,,ways,1
110,,WeizmanGal,1
111,,recently,1
112,,published,1
113,,paper,1
114,,Browser,1
115,,Wallets,1
116,,Security,1
117,,shared,1
118,,Given,1
119,,field,1
120,,work,1
121,,recent,1
122,,years,1
123,,impacted,1
124,,exploit,1
125,,occurred,1
126,,today,1
127,,paramount,1
128,,designed,1
129,,contracts,1
130,,unique,1
131,,architecture,1
132,,intended,1
133,,types,1
134,,attacks,1
135,,user,1
136,,outside,1
137,,please,1
138,,keep,1
139,,eye,1
140,,official,1
141,,updates,1
142,,lookout,1
143,,fake,1
144,,accounts,1
145,,trying,1
146,,take,1
147,,advantage,1
148,,situation,1
149,,PoYphBS4zx,1
