,profiles,kw,count
0,MingoAirdrop,co,10
1,,airdrop,5
2,,manta,4
3,,deBridge,4
4,,daily,4
5,,TXs,4
6,,farm,3
7,,fees,3
8,,L33t,3
9,,codes,3
10,,stakers,3
11,,Bungee,3
12,,Jumper,3
13,,total,3
14,,Orderly,2
15,,LogX,2
16,,part,2
17,,almost,2
18,,Tensor,2
19,,make,2
20,,many,2
21,,people,2
22,,easy,2
23,,January,2
24,,big,2
25,,compared,2
26,,snapshot,2
27,,EigenLayer,2
28,,course,2
29,,TIA,2
30,,want,2
31,,token,2
32,,worth,2
33,,slippage,2
34,,wallets,2
35,,Network,1
36,,integration,1
37,,made,1
38,,LogX_trade,1
39,,directly,1
40,,select,1
41,,OrderlyNetwork,1
42,,route,1
43,,trading,1
44,,honest,1
45,,expect,1
46,,really,1
47,,good,1
48,,cover,1
49,,gas,1
50,,used,1
51,,rakywlAjSL,1
52,,pixels_online,1
53,,lands,1
54,,back,1
55,,2ETH,1
56,,People,1
57,,ready,1
58,,pay,1
59,,5k,1
60,,points,1
61,,trust,1
62,,score,1
63,,Bullish,1
64,,6o9hfXx5C3,1
65,,Anyone,1
66,,SOL,1
67,,must,1
68,,focus,1
69,,grinding,1
70,,S3,1
71,,moment,1
72,,seeing,1
73,,Jito,1
74,,convinced,1
75,,pull,1
76,,Blur,1
77,,cope,1
78,,sounds,1
79,,trade,1
80,,XJf9C22YRn,1
81,,happy,1
82,,forget,1
83,,two,1
84,,masters,1
85,,watching,1
86,,us,1
87,,right,1
88,,waiting,1
89,,turn,1
90,,Together,1
91,,look,1
92,,appetizer,1
93,,ZRO,1
94,,ZKS,1
95,,Gonna,1
96,,year,1
97,,9iHo8Rizzq,1
98,,sold,1
99,,saw,1
100,,luckily,1
101,,dump,1
102,,Paradigm,1
103,,depositors,1
104,,see,1
105,,NFTs,1
106,,seems,1
107,,overprices,1
108,,others,1
109,,Tier1,1
110,,backers,1
111,,OWLE0hdFw9,1
112,,Yes,1
113,,today,1
114,,read,1
115,,due,1
116,,euphoria,1
117,,size,1
118,,Celestia,1
119,,feel,1
120,,main,1
121,,G7MQyboCxP,1
122,,CELESTIA,1
123,,STAKERS,1
124,,EATING,1
125,,airdrops,1
126,,month,1
127,,probably,1
128,,taken,1
129,,December,1
130,,Full,1
131,,details,1
132,,dprsIum0Di,1
133,,Altlayer,1
134,,confirmed,1
135,,ALT,1
136,,airdropped,1
137,,several,1
138,,group,1
139,,including,1
140,,Another,1
141,,one,1
142,,pocket,1
143,,sell,1
144,,buy,1
145,,MANTA,1
146,,OTC,1
147,,official,1
148,,launch,1
149,,possible,1
150,,Whales,1
151,,Market,1
152,,BO6tUKIfvR,1
153,,lootbot_xyz,1
154,,staker,1
155,,still,1
156,,check,1
157,,WHALES,1
158,,recommend,1
159,,pumping,1
160,,example,1
161,,claimed,1
162,,Best,1
163,,thing,1
164,,first,1
165,,wrong,1
166,,work,1
167,,need,1
168,,enough,1
169,,conviction,1
170,,spend,1
171,,hours,1
172,,day,1
173,,stuff,1
174,,burning,1
175,,thousands,1
176,,leave,1
177,,money,1
178,,multiple,1
179,,projects,1
180,,months,1
181,,find,1
182,,fun,1
183,,crazy,1
184,,Probably,1
185,,x,1
186,,often,1
187,,cheaper,1
188,,act,1
189,,aggregators,1
190,,opinion,1
191,,bridge,1
192,,ETH,1
193,,seconds,1
194,,cheap,1
195,,mention,1
196,,bridging,1
197,,Optimism,1
198,,network,1
199,,cost,1
200,,free,1
201,,low,1
202,,thanks,1
203,,OP,1
204,,rebates,1
205,,eM53ngzEFz,1
206,,underfarmed,1
207,,bridges,1
208,,500k,1
209,,8M,1
210,,unique,1
211,,users,1
212,,127k,1
213,,amount,1
214,,different,1
215,,13k,1
216,,18k,1
217,,less,1
218,,SI3OhvhWpJ,1
