,profiles,kw,count
0,MonadNomadsNFT,Nomads,8
1,,Competition,5
2,,discord,4
3,,first,4
4,,Memes,3
5,,Art,3
6,,January,2
7,,submissions,2
8,,Nomad,2
9,,Finding,2
10,,great,2
11,,Monad,2
12,,WL,2
13,,co,2
14,,homies,2
15,,Gnomad,2
16,,team,2
17,,deadline,1
18,,extended,1
19,,end,1
20,,Sunday,1
21,,21st,1
22,,MONAD,1
23,,single,1
24,,red,1
25,,candle,1
26,,entire,1
27,,cycle,1
28,,one,1
29,,many,1
30,,reasons,1
31,,call,1
32,,monad_xyz,1
33,,home,1
34,,Wandering,1
35,,Digital,1
36,,crypto,1
37,,project,1
38,,needle,1
39,,haystack,1
40,,nomad,1
41,,wanders,1
42,,spread,1
43,,gospel,1
44,,everyone,1
45,,see,1
46,,Reminder,1
47,,check,1
48,,Earn,1
49,,guarantee,1
50,,mint,1
51,,RT,1
52,,forthefam365247,1
53,,papyrus,1
54,,font,1
55,,bawss,1
56,,MonadNomadsNFT,1
57,,RAp3D44vrQ,1
58,,ends,1
59,,Friday,1
60,,19th,1
61,,midnight,1
62,,work,1
63,,coming,1
64,,already,1
65,,Meme,1
66,,Gmonad,1
67,,East,1
68,,West,1
69,,Let,1
70,,week,1
71,,excited,1
72,,announce,1
73,,opportunity,1
74,,Submit,1
75,,entries,1
76,,read,1
77,,full,1
78,,rules,1
79,,link,1
80,,bio,1
81,,Best,1
82,,luck,1
83,,Ty,1
84,,mention,1
85,,Nigerianads_xyz,1
86,,Nigerian,1
87,,growing,1
88,,Check,1
89,,recent,1
90,,announcement,1
91,,W9zcIcDtUW,1
92,,NFT,1
93,,initiative,1
94,,solely,1
95,,dedicated,1
96,,early,1
97,,right,1
98,,massive,1
99,,good,1
100,,nomads,1
101,,touch,1
102,,grass,1
103,,weekends,1
