,profiles,kw,count
0,Neutron_org,RT,8
1,,co,8
2,,Neutron,5
3,,grant,4
4,,CosmWasm,3
5,,Developer,3
6,,ApolloDAO,2
7,,Hyperlane_xyz,2
8,,Introducing,2
9,,Astroport,2
10,,inscriptions,2
11,,cosmos,2
12,,first,2
13,,delphi_labs,2
14,,Protocol,2
15,,new,2
16,,Role,2
17,,support,2
18,,Confio,2
19,,Apollo,2
20,,NGP,2
21,,proposals,2
22,,approved,2
23,,Exciting,1
24,,times,1
25,,ahead,1
26,,Modular,1
27,,Expansion,1
28,,keplrwallet,1
29,,Keplr,1
30,,Mobile,1
31,,v2,1
32,,Designed,1
33,,multichain,1
34,,powerful,1
35,,Improved,1
36,,visibility,1
37,,intercha,1
38,,NolusProtocol,1
39,,NLS,1
40,,token,1
41,,available,1
42,,network,1
43,,marks,1
44,,significant,1
45,,milestone,1
46,,expanding,1
47,,cosmoshub,1
48,,January,1
49,,23rd,1
50,,m223eS4HkO,1
51,,DonCryptonium,1
52,,means,1
53,,chain,1
54,,found,1
55,,utility,1
56,,ATOM,1
57,,Delivered,1
58,,delphi,1
59,,labs,1
60,,might,1
61,,brin,1
62,,Asteroid,1
63,,open,1
64,,source,1
65,,Cosmos,1
66,,Hub,1
67,,amp,1
68,,astroport,1
69,,Discover,1
70,,Website,1
71,,sdHocFPphV,1
72,,Social,1
73,,Media,1
74,,JYyLYhTbjk,1
75,,Docs,1
76,,iAspuRqNQY,1
77,,interested,1
78,,accessing,1
79,,resources,1
80,,visit,1
81,,Discord,1
82,,choose,1
83,,Tech,1
84,,station,1
85,,tag,1
86,,TechTeam,1
87,,dev,1
88,,chat,1
89,,vrumRIBJQS,1
90,,sponsorship,1
91,,represents,1
92,,latest,1
93,,step,1
94,,strategic,1
95,,partnership,1
96,,aiming,1
97,,better,1
98,,serve,1
99,,needs,1
100,,application,1
101,,builders,1
102,,create,1
103,,flourishing,1
104,,future,1
105,,16BZe7DsJ4,1
106,,X,1
107,,delighted,1
108,,announce,1
109,,confio_tech,1
110,,subscription,1
111,,xF0pKf32Mo,1
112,,PossibltyResult,1
113,,live,1
114,,settling,1
115,,Celestia,1
116,,rollups,1
117,,Neutron_org,1
118,,today,1
119,,created,1
120,,Proposal,1
121,,Governance,1
122,,launch,1
123,,Tax,1
124,,Pool,1
125,,wstETH,1
126,,passes,1
127,,released,1
128,,batch,1
129,,pioneering,1
130,,accountability,1
131,,transparency,1
132,,making,1
133,,ensuring,1
134,,vetoed,1
135,,community,1
136,,final,1
137,,three,1
138,,days,1
139,,Learn,1
140,,sb26cb0oIX,1
