,profiles,kw,count
0,NibiruChain,co,12
1,,Nibiru,11
2,,RT,7
3,,Chain,5
4,,Keplr,5
5,,NibiruChain,4
6,,community,4
7,,wallet,4
8,,Feb,3
9,,Address,3
10,,sale,3
11,,blockchain,2
12,,nhAlvJamIy,2
13,,QylftHFFTH,2
14,,Guide,2
15,,Creating,2
16,,Create,2
17,,kX7KdPIRPi,2
18,,Connect,2
19,,CoinList,2
20,,crème,2
21,,projects,2
22,,ETF,2
23,,approve,2
24,,nonced_,1
25,,L1s,1
26,,becoming,1
27,,progressively,1
28,,revolutionary,1
29,,evolving,1
30,,solve,1
31,,problems,1
32,,previous,1
33,,one,1
34,,secur,1
35,,GM,1
36,,time,1
37,,quick,1
38,,overview,1
39,,davut1karabulut,1
40,,writeup,1
41,,binance,1
42,,lPXJDksjDj,1
43,,Eclipsefi,1
44,,Launching,1
45,,Mainnet,1
46,,next,1
47,,gen,1
48,,L1,1
49,,bringing,1
50,,web3,1
51,,mainstr,1
52,,support,1
53,,incredible,1
54,,TGApkTTccn,1
55,,8rRc0UeWCY,1
56,,whole,1
57,,F2y0e4pyh9,1
58,,wall,1
59,,App,1
60,,c4AWDcf9uP,1
61,,connected,1
62,,automatically,1
63,,generate,1
64,,Note,1
65,,testnet,1
66,,1st,1
67,,public,1
68,,token,1
69,,de,1
70,,la,1
71,,offer,1
72,,chance,1
73,,early,1
74,,access,1
75,,Date,1
76,,PM,1
77,,UTC,1
78,,Price,1
79,,per,1
80,,NIBI,1
81,,Although,1
82,,limited,1
83,,offering,1
84,,9kz5tFTVW2,1
85,,Flattered,1
86,,Shout,1
87,,revolut20,1
88,,Facts,1
89,,dev3_map,1
90,,BullyVentures,1
91,,delighted,1
92,,announce,1
93,,investment,1
94,,emerging,1
95,,Layer,1
96,,designed,1
97,,empower,1
98,,Web2,1
99,,Fill,1
100,,blank,1
101,,______,1
102,,Fam,1
103,,made,1
104,,TheCryptoLark,1
105,,list,1
106,,lookout,1
107,,LFG,1
108,,loves,1
109,,seeing,1
110,,grow,1
111,,DeusExUnicus,1
112,,SECGov,1
113,,ETH,1
114,,likely,1
115,,think,1
116,,basket,1
117,,crypto,1
118,,crypto_linn,1
119,,maybe,1
120,,end,1
121,,real,1
122,,bull,1
123,,market,1
124,,within,1
125,,us,1
