,profiles,kw,count
0,Nuls,NULS,19
1,,co,12
2,,RT,6
3,,Bitcoin,6
4,,ecosystem,5
5,,BrasilCriptos,4
6,,video,3
7,,NinjaPepe,3
8,,Halving,3
9,,new,3
10,,ENULS,3
11,,YouTube,3
12,,En,2
13,,Mira,2
14,,el,2
15,,español,2
16,,través,2
17,,del,2
18,,enlace,2
19,,de,2
20,,welcomes,2
21,,join,2
22,,POCM,2
23,,staking,2
24,,platform,2
25,,community,2
26,,NFT,2
27,,Stake,2
28,,earn,2
29,,today,2
30,,monthly,2
31,,supply,2
32,,decrease,2
33,,July,2
34,,Explorer,2
35,,nerve_network,2
36,,HALVING,2
37,,Tips,2
38,,watch,2
39,,link,2
40,,Nuls,2
41,,EN,2
42,,ZOCI,2
43,,Inscription,2
44,,Consejos,1
45,,Poderosos,1
46,,Para,1
47,,Ganar,1
48,,Dinero,1
49,,Con,1
50,,Criptomonedas,1
51,,NinjaPepeNFT,1
52,,driven,1
53,,collection,1
54,,utility,1
55,,token,1
56,,develops,1
57,,amp,1
58,,digital,1
59,,collectibles,1
60,,exist,1
61,,imagination,1
62,,WoP0D3tBYq,1
63,,5g5agQJpgT,1
64,,Unlike,1
65,,halves,1
66,,years,1
67,,believed,1
68,,help,1
69,,push,1
70,,deflationary,1
71,,first,1
72,,occurred,1
73,,12th,1
74,,total,1
75,,reach,1
76,,million,1
77,,much,1
78,,know,1
79,,concept,1
80,,originated,1
81,,councilor,1
82,,Berzeck,1
83,,proposal,1
84,,titled,1
85,,Setting,1
86,,Max,1
87,,Supply,1
88,,Limit,1
89,,JSqFbX7NOp,1
90,,Go,1
91,,BitcoinHalving,1
92,,Rl7lVtHEVs,1
93,,Community,1
94,,Briefing,1
95,,1st,1
96,,half,1
97,,January,1
98,,roadmap,1
99,,released,1
100,,live,1
101,,Nulscriptions,1
102,,activated,1
103,,main,1
104,,net,1
105,,SCO,1
106,,updates,1
107,,intdestcoin,1
108,,DonDollarsToken,1
109,,info,1
110,,nYQstYodY5,1
111,,date,1
112,,Brand,1
113,,UI,1
114,,design,1
115,,features,1
116,,visual,1
117,,panels,1
118,,helps,1
119,,track,1
120,,footprints,1
121,,Dive,1
122,,jygblHSVZx,1
123,,Rl3ub11ynK,1
124,,excited,1
125,,share,1
126,,upcoming,1
127,,integration,1
128,,X1_Network,1
129,,Nerve,1
130,,products,1
131,,NerveBridge,1
132,,NerveSwap,1
133,,NerveFarm,1
134,,HalvingcrazeBTC,1
135,,meme,1
136,,coin,1
137,,emerges,1
138,,playful,1
139,,humorous,1
140,,homage,1
141,,highly,1
142,,anticipated,1
143,,event,1
144,,HAVL,1
145,,uJbMoOkEks,1
146,,F2PEAy5i1b,1
147,,Powerful,1
148,,Make,1
149,,Money,1
150,,Crypto,1
151,,VvClA31cfp,1
152,,HowToB,1
153,,koin_milyoner,1
154,,DeFi,1
155,,Coins,1
156,,Keep,1
157,,Eye,1
158,,Huge,1
159,,Gains,1
160,,Binance,1
161,,BinanceSquare,1
162,,Q0qFtaShul,1
163,,INVERTIR,1
164,,SIN,1
165,,GASTAR,1
166,,DINERO,1
167,,que,1
168,,se,1
169,,encuentra,1
170,,INVESTING,1
171,,WITHOUT,1
172,,SPENDING,1
173,,MONEY,1
174,,vEy4481Rxj,1
175,,naboxwall,1
176,,next,1
177,,important,1
178,,goal,1
179,,establish,1
180,,extension,1
181,,projects,1
182,,benefit,1
183,,Building,1
184,,EVM,1
185,,naboxwallet,1
186,,nulswap,1
187,,PheasantSwap,1
188,,always,1
189,,support,1
190,,development,1
191,,welcome,1
192,,partners,1
193,,come,1
194,,build,1
195,,us,1
