,profiles,kw,count
0,OctavFi,co,8
1,,DeFi,6
2,,OP,6
3,,new,5
4,,transactions,5
5,,Octav,4
6,,protocol,4
7,,Validator,4
8,,transaction,3
9,,labeling,3
10,,chance,3
11,,reports,3
12,,Validators,2
13,,earn,2
14,,last,2
15,,week,2
16,,points,2
17,,validating,2
18,,campaign,2
19,,grabs,2
20,,latest,2
21,,4S6jTJqoox,2
22,,alpha,2
23,,Save,2
24,,generate,2
25,,amp,2
26,,treasury,2
27,,team,2
28,,hardworking,1
29,,make,1
30,,breeze,1
31,,interpret,1
32,,ensure,1
33,,history,1
34,,crystal,1
35,,clear,1
36,,Start,1
37,,labelling,1
38,,gt,1
39,,Check,1
40,,stats,1
41,,8Owy1E37on,1
42,,wrap,1
43,,Earn,1
44,,still,1
45,,running,1
46,,strong,1
47,,5k,1
48,,20K,1
49,,updates,1
50,,protocols,1
51,,best,1
52,,way,1
53,,track,1
54,,follow,1
55,,OctavFi,1
56,,SocialFi,1
57,,app,1
58,,Mar3_AI,1
59,,entered,1
60,,partnership,1
61,,DWFLabs,1
62,,invest,1
63,,ecosystem,1
64,,Binance,1
65,,Smart,1
66,,Chain,1
67,,tracked,1
68,,Alert,1
69,,great,1
70,,uncover,1
71,,opportunities,1
72,,early,1
73,,require,1
74,,Let,1
75,,check,1
76,,o1pFJGYXbs,1
77,,post,1
78,,inspired,1
79,,ColeThereum,1
80,,dVh8TpicmO,1
81,,headaches,1
82,,crypto,1
83,,taxes,1
84,,load,1
85,,wallet,1
86,,one,1
87,,click,1
88,,automatically,1
89,,labeled,1
90,,token,1
91,,holdings,1
92,,deposits,1
93,,NFTs,1
94,,export,1
95,,Snapshot,1
96,,PDF,1
97,,p,1
98,,l,1
99,,cost,1
100,,basis,1
101,,fees,1
102,,net,1
103,,worth,1
104,,Custom,1
105,,CSV,1
106,,let,1
107,,vULuR767Pm,1
108,,Two,1
109,,weeks,1
110,,go,1
111,,end,1
112,,January,1
113,,Validation,1
114,,reward,1
115,,pool,1
116,,top,1
117,,walk,1
118,,away,1
119,,leaderboard,1
120,,train,1
121,,Excited,1
122,,announce,1
123,,partnering,1
124,,Timeless_Fi,1
125,,support,1
126,,management,1
127,,working,1
128,,financial,1
129,,analytics,1
130,,0xmcflyeth,1
131,,GoodCookie_Eth,1
132,,rest,1
133,,Learn,1
134,,Leaderboard,1
135,,update,1
136,,win,1
137,,5K,1
138,,Join,1
139,,Discord,1
140,,find,1
141,,sharing,1
142,,valuable,1
143,,needs,1
144,,validation,1
145,,swiftly,1
146,,rack,1
147,,quickly,1
148,,Become,1
149,,wEsm0JkzX3,1
150,,desktop,1
151,,Fv3Pg7wNk1,1
