,profiles,kw,count
0,OfframpXYZ,co,9
1,,referral,7
2,,wallet,6
3,,Offramp,6
4,,chain,4
5,,give,4
6,,banking,4
7,,superpowers,4
8,,access,4
9,,crypto,4
10,,program,3
11,,chainvine_xyz,3
12,,Medium,3
13,,earn,3
14,,Read,3
15,,Spend,3
16,,tracker,2
17,,claim,2
18,,built,2
19,,blog,2
20,,mission,2
21,,IRL,2
22,,us,2
23,,new,2
24,,getting,2
25,,one,2
26,,core,2
27,,natives,2
28,,non,2
29,,want,2
30,,way,2
31,,Send,2
32,,Earn,2
33,,dynamic_xyz,2
34,,U,2
35,,bill,2
36,,yield,2
37,,product,2
38,,amp,2
39,,events,1
40,,tracked,1
41,,attributed,1
42,,Chainvine,1
43,,displayed,1
44,,convenient,1
45,,link,1
46,,page,1
47,,rewards,1
48,,time,1
49,,clicking,1
50,,fees,1
51,,button,1
52,,Happy,1
53,,hunting,1
54,,a6eZnXtSWx,1
55,,read,1
56,,K8O3Q8Ckgv,1
57,,spend,1
58,,send,1
59,,help,1
60,,achieve,1
61,,powered,1
62,,lets,1
63,,USDC,1
64,,friend,1
65,,refer,1
66,,h3rimVvki4,1
67,,stunned,1
68,,many,1
69,,users,1
70,,launch,1
71,,yesterday,1
72,,Loving,1
73,,support,1
74,,enthusiasm,1
75,,started,1
76,,note,1
77,,world,1
78,,biggest,1
79,,regions,1
80,,offramp,1
81,,next,1
82,,Friday,1
83,,Guess,1
84,,hint,1
85,,benefits,1
86,,need,1
87,,keep,1
88,,identities,1
89,,private,1
90,,well,1
91,,easy,1
92,,DeFi,1
93,,without,1
94,,complications,1
95,,UX,1
96,,C1E54n9qdo,1
97,,x,1
98,,Dynamic,1
99,,integrated,1
100,,enabling,1
101,,use,1
102,,options,1
103,,email,1
104,,address,1
105,,Try,1
106,,uSI1LC6JO2,1
107,,bTKQSMU2Ut,1
108,,integrating,1
109,,largest,1
110,,Treasury,1
111,,RWA,1
112,,providers,1
113,,provide,1
114,,custodial,1
115,,Instant,1
116,,settlement,1
117,,deposits,1
118,,withdrawals,1
119,,Interested,1
120,,Apply,1
121,,app,1
122,,massive,1
123,,thanks,1
124,,partners,1
125,,helping,1
126,,chainlink,1
127,,gelatonetwork,1
128,,lifiprotocol,1
129,,Plaid,1
130,,NNepfU0NgQ,1
131,,Today,1
132,,announcing,1
133,,V2,1
134,,building,1
135,,virtual,1
136,,physical,1
137,,VISA,1
138,,debit,1
139,,card,1
140,,top,1
141,,free,1
142,,Fund,1
143,,local,1
144,,international,1
145,,fiat,1
146,,transfers,1
147,,anyone,1
148,,mMfLT9Brei,1
149,,Gm,1
150,,Expect,1
151,,see,1
152,,LOT,1
153,,changes,1
154,,SZ10BIvzKS,1
155,,tomorrow,1
156,,Product,1
157,,update,1
158,,thread,1
159,,dropping,1
160,,hrs,1
161,,v2,1
162,,drops,1
163,,Wednesday,1
164,,features,1
165,,seamless,1
166,,onboarding,1
167,,flow,1
168,,updated,1
169,,UI,1
170,,powerful,1
171,,supercharge,1
172,,capabilities,1
173,,Stay,1
174,,tuned,1
