,profiles,kw,count
0,OnchainDataNerd,SAVM,3
1,,profit,3
2,,1M,3
3,,co,3
4,,Whale,2
5,,9K,2
6,,hour,2
7,,ago,2
8,,deposited,2
9,,BTC,2
10,,coinbase,2
11,,Prime,2
12,,SatoshiVM,1
13,,rocketed,1
14,,Smart,1
15,,0x957,1
16,,used,1
17,,BananaGunBot,1
18,,snipe,1
19,,521K,1
20,,right,1
21,,beginning,1
22,,Currently,1
23,,largest,1
24,,realized,1
25,,189K,1
26,,unrealized,1
27,,WqMIX88Wqf,1
28,,0x0bb,1
29,,borrowed,1
30,,ETH,1
31,,53M,1
32,,Instadapp,1
33,,staking,1
34,,Mantle,1
35,,Notably,1
36,,3K,1
37,,stETH,1
38,,76M,1
39,,99K,1
40,,rETH,1
41,,73M,1
42,,staked,1
43,,EigenLayer,1
44,,0vSQBFpCce,1
45,,Grayscale,1
46,,Trust,1
47,,wallets,1
48,,another,1
49,,last,1
50,,days,1
51,,total,1
52,,13K,1
53,,SseNsnqOb2,1
