,profiles,kw,count
0,OriginDeFi,new,5
1,,co,5
2,,Origin,4
3,,OETH,4
4,,OGV,4
5,,LP,3
6,,strategy,3
7,,Curvance,2
8,,community,2
9,,us,2
10,,Monday,2
11,,Call,2
12,,yield,2
13,,buyback,2
14,,DeFi,2
15,,ETH,2
16,,last,2
17,,used,2
18,,purchase,2
19,,CVX,2
20,,Locking,2
21,,frxETH,2
22,,tokens,2
23,,launch,2
24,,updated,1
25,,integrations,1
26,,product,1
27,,engineering,1
28,,priorities,1
29,,hear,1
30,,special,1
31,,guest,1
32,,ICYMI,1
33,,Qualified,1
34,,members,1
35,,gain,1
36,,access,1
37,,incentivized,1
38,,testnet,1
39,,Join,1
40,,NyZ1on0oTa,1
41,,pVR5urr0IM,1
42,,RT,1
43,,OriginProtocol,1
44,,Ether,1
45,,native,1
46,,nearly,1
47,,unbeatable,1
48,,Turns,1
49,,passive,1
50,,holders,1
51,,outperformed,1
52,,active,1
53,,strat,1
54,,clockwork,1
55,,another,1
56,,occurred,1
57,,today,1
58,,DAO,1
59,,earned,1
60,,days,1
61,,open,1
62,,market,1
63,,far,1
64,,Ruujq3BAeX,1
65,,Community,1
66,,discussed,1
67,,coming,1
68,,Convex,1
69,,Frax,1
70,,enable,1
71,,earn,1
72,,extra,1
73,,rewards,1
74,,week,1
75,,use,1
76,,WETH,1
77,,Listen,1
78,,XwrJg1ZZXP,1
79,,staking,1
80,,experience,1
81,,completely,1
82,,overhauled,1
83,,sleek,1
84,,design,1
85,,tons,1
86,,features,1
87,,release,1
88,,prepares,1
89,,dapp,1
90,,Soon,1
91,,live,1
92,,place,1
93,,OUSD,1
94,,ERmxdNmlca,1
