,profiles,kw,count
0,OstiumLabs,amp,3
1,,inflation,3
2,,co,3
3,,energy,2
4,,price,2
5,,conclude,2
6,,covid,2
7,,piece,2
8,,arguments,2
9,,case,2
10,,data,1
11,,encouraging,1
12,,yet,1
13,,unresolved,1
14,,war,1
15,,rising,1
16,,geopolitical,1
17,,tensions,1
18,,Middle,1
19,,East,1
20,,may,1
21,,lead,1
22,,renewed,1
23,,disruptions,1
24,,supply,1
25,,downstream,1
26,,effects,1
27,,seems,1
28,,early,1
29,,definitive,1
30,,victory,1
31,,instability,1
32,,analysis,1
33,,suggests,1
34,,main,1
35,,drivers,1
36,,already,1
37,,abated,1
38,,returning,1
39,,pre,1
40,,norms,1
41,,next,1
42,,counter,1
43,,make,1
44,,persistently,1
45,,higher,1
46,,Read,1
47,,full,1
48,,vj3BNK6Cev,1
49,,Last,1
50,,week,1
51,,CPI,1
52,,print,1
53,,came,1
54,,hotter,1
55,,expected,1
56,,posting,1
57,,MoM,1
58,,gain,1
59,,leaving,1
60,,questioning,1
61,,whether,1
62,,really,1
63,,series,1
64,,posts,1
65,,explore,1
66,,view,1
67,,First,1
68,,optimism,1
69,,declining,1
70,,VJDcj7XhdY,1
71,,U,1
72,,NY,1
73,,Empire,1
74,,State,1
75,,Manufacturing,1
76,,Index,1
77,,falling,1
78,,cliff,1
79,,levels,1
80,,last,1
81,,seen,1
82,,drawdown,1
83,,deeper,1
84,,crisis,1
85,,quick,1
86,,dismiss,1
87,,harder,1
88,,landing,1
89,,ldnGWWXXXc,1
90,,Excellent,1
91,,report,1
92,,Crypto_McKenna,1
93,,coming,1
94,,influx,1
95,,onchain,1
96,,capital,1
97,,via,1
98,,Real,1
99,,World,1
100,,Assets,1
101,,Catch,1
102,,Ostium,1
103,,exchanges,1
104,,bottom,1
105,,right,1
106,,section,1
107,,graphic,1
