,profiles,kw,count
0,OverlayProtocol,co,13
1,,polkastarter,9
2,,Overlay,8
3,,trading,7
4,,platform,6
5,,RT,6
6,,OV,5
7,,OverlayProtocol,5
8,,world,4
9,,trade,4
10,,IDO,4
11,,Explore,3
12,,data,3
13,,Join,3
14,,crypto,3
15,,Exotic,3
16,,Perps,3
17,,upcoming,3
18,,need,3
19,,gaming,3
20,,Tier,3
21,,mechanism,2
22,,finance,2
23,,new,2
24,,markets,2
25,,us,2
26,,OVL,2
27,,testnet,2
28,,tokens,2
29,,test,2
30,,ready,2
31,,market,2
32,,game,2
33,,assets,2
34,,Dive,2
35,,one,2
36,,allowlist,2
37,,AMA,2
38,,sign,2
39,,everything,2
40,,launch,2
41,,NifwJbsjVL,2
42,,streams,2
43,,insights,2
44,,Reminder,2
45,,designed,1
46,,efficiency,1
47,,fairness,1
48,,mind,1
49,,intricacies,1
50,,understand,1
51,,role,1
52,,token,1
53,,6LNbh8q8zP,1
54,,day,1
55,,people,1
56,,embracing,1
57,,dynamic,1
58,,evolving,1
59,,stepping,1
60,,future,1
61,,full,1
62,,possibilities,1
63,,versatile,1
64,,user,1
65,,friendly,1
66,,suitable,1
67,,seasoned,1
68,,traders,1
69,,newcomers,1
70,,alike,1
71,,driven,1
72,,strategy,1
73,,thrive,1
74,,claiming,1
75,,redefine,1
76,,experience,1
77,,JkcnLD8DaQ,1
78,,rapidly,1
79,,expanding,1
80,,daily,1
81,,volume,1
82,,often,1
83,,exceeds,1
84,,billion,1
85,,changer,1
86,,offer,1
87,,unique,1
88,,far,1
89,,beyond,1
90,,usual,1
91,,Sound,1
92,,interesting,1
93,,learn,1
94,,eq4evOAzcs,1
95,,weekend,1
96,,away,1
97,,closing,1
98,,ab,1
99,,wrapped,1
100,,catch,1
101,,secret,1
102,,code,1
103,,Claim,1
104,,lucky,1
105,,ticket,1
106,,AL,1
107,,raf,1
108,,ruPie3hl1U,1
109,,closes,1
110,,Sunday,1
111,,Make,1
112,,sure,1
113,,chance,1
114,,take,1
115,,part,1
116,,late,1
117,,6b0UpnpNUP,1
118,,LIVE,1
119,,Find,1
120,,know,1
121,,joining,1
122,,space,1
123,,ICYMI,1
124,,reminder,1
125,,kicking,1
126,,hour,1
127,,shaping,1
128,,b,1
129,,brings,1
130,,twist,1
131,,intrigue,1
132,,skin,1
133,,value,1
134,,fluctuating,1
135,,NFTs,1
136,,numbers,1
137,,interests,1
138,,trends,1
139,,Try,1
140,,x2epMCzdZY,1
141,,wthsUj1l9F,1
142,,unlocking,1
143,,potential,1
144,,Trade,1
145,,Untradable,1
146,,3oIyC3NTj2,1
147,,tomorrow,1
148,,key,1
149,,happening,1
150,,soon,1
151,,January,1
152,,18th,1
153,,PM,1
154,,UTC,1
155,,Set,1
156,,yBSpwVOP0s,1
157,,Allowlist,1
158,,applications,1
159,,close,1
160,,days,1
161,,Jan,1
162,,summarized,1
163,,updated,1
164,,System,1
165,,allocation,1
166,,Missed,1
167,,news,1
168,,better,1
169,,time,1
170,,BTC,1
171,,Dominance,1
172,,ETF,1
173,,approval,1
174,,live,1
175,,environment,1
176,,arbitrum,1
177,,mainnet,1
178,,Discord,1
179,,grab,1
180,,start,1
181,,y3hjhq8kas,1
182,,meets,1
183,,opening,1
184,,opportunities,1
185,,turning,1
186,,thrills,1
187,,tradable,1
188,,Ls8EynXrXf,1
