,profiles,kw,count
0,POTUS,co,11
1,,Today,5
2,,Administration,5
3,,overdraft,5
4,,fee,5
5,,Americans,5
6,,million,4
7,,America,4
8,,new,3
9,,half,3
10,,debt,3
11,,high,3
12,,speed,3
13,,internet,3
14,,American,3
15,,businesses,3
16,,small,3
17,,big,3
18,,business,3
19,,hope,3
20,,Hamas,2
21,,civilians,2
22,,keeping,2
23,,protect,2
24,,mayors,2
25,,U,2
26,,families,2
27,,average,2
28,,cut,2
29,,provide,2
30,,strongest,2
31,,economy,2
32,,world,2
33,,affordable,2
34,,stretch,2
35,,years,2
36,,Uvalde,2
37,,School,2
38,,today,2
39,,investment,2
40,,right,2
41,,live,2
42,,time,2
43,,Congress,2
44,,make,2
45,,getting,2
46,,act,2
47,,security,2
48,,Lehigh,2
49,,Valley,2
50,,watch,2
51,,happening,2
52,,everywhere,2
53,,banks,2
54,,call,2
55,,exploitation,2
56,,bank,2
57,,Capitalism,2
58,,competition,2
59,,consumers,2
60,,continue,2
61,,start,2
62,,communities,2
63,,Prime,1
64,,Minister,1
65,,Netanyahu,1
66,,discussed,1
67,,efforts,1
68,,secure,1
69,,release,1
70,,hostages,1
71,,held,1
72,,reviewed,1
73,,moves,1
74,,increase,1
75,,humanitarian,1
76,,aid,1
77,,military,1
78,,pressure,1
79,,reiterated,1
80,,Israel,1
81,,responsibility,1
82,,hszlHuov0M,1
83,,Tune,1
84,,welcome,1
85,,bipartisan,1
86,,attending,1
87,,Conference,1
88,,Winter,1
89,,Meeting,1
90,,White,1
91,,House,1
92,,spm3YMqPAy,1
93,,companies,1
94,,sneak,1
95,,hidden,1
96,,junk,1
97,,bills,1
98,,take,1
99,,hundreds,1
100,,dollars,1
101,,month,1
102,,pockets,1
103,,rule,1
104,,proposal,1
105,,saving,1
106,,typical,1
107,,family,1
108,,pays,1
109,,year,1
110,,higher,1
111,,education,1
112,,system,1
113,,opportunity,1
114,,burdens,1
115,,loan,1
116,,approved,1
117,,cancellation,1
118,,borrowers,1
119,,bringing,1
120,,total,1
121,,whose,1
122,,cancelled,1
123,,various,1
124,,actions,1
125,,Right,1
126,,growth,1
127,,lowest,1
128,,inflation,1
129,,major,1
130,,became,1
131,,president,1
132,,access,1
133,,well,1
134,,way,1
135,,connecting,1
136,,last,1
137,,reliable,1
138,,kZniRBZM4f,1
139,,Unemployment,1
140,,longest,1
141,,community,1
142,,go,1
143,,suffered,1
144,,students,1
145,,educators,1
146,,killed,1
147,,Robb,1
148,,Elementary,1
149,,full,1
150,,statement,1
151,,TheJusticeDept,1
152,,report,1
153,,shooting,1
154,,response,1
155,,EMsc5KGhkE,1
156,,Join,1
157,,Raleigh,1
158,,announce,1
159,,North,1
160,,Carolina,1
161,,bring,1
162,,additional,1
163,,homes,1
164,,online,1
165,,xXguQlvKJG,1
166,,Roe,1
167,,v,1
168,,Wade,1
169,,safeguarded,1
170,,fundamental,1
171,,choose,1
172,,freedom,1
173,,us,1
174,,decide,1
175,,codify,1
176,,mp2Rf0ixPC,1
177,,brought,1
178,,together,1
179,,Congressional,1
180,,leaders,1
181,,clear,1
182,,importance,1
183,,Ukraine,1
184,,needs,1
185,,defend,1
186,,Putin,1
187,,aggression,1
188,,Failure,1
189,,endangers,1
190,,free,1
191,,delay,1
192,,Pass,1
193,,national,1
194,,GcHg5oAVu0,1
195,,South,1
196,,Mountain,1
197,,Bike,1
198,,Shop,1
199,,Emmaus,1
200,,running,1
201,,store,1
202,,warm,1
203,,cafe,1
204,,heart,1
205,,Pennsylvania,1
206,,across,1
207,,thriving,1
208,,pgsjujwxkJ,1
209,,Exorbitant,1
210,,fees,1
211,,charged,1
212,,sometimes,1
213,,hit,1
214,,vulnerable,1
215,,hardest,1
216,,service,1
217,,taking,1
218,,tDYAc5vEE4,1
219,,Folks,1
220,,long,1
221,,cash,1
222,,cows,1
223,,fact,1
224,,one,1
225,,CEO,1
226,,actually,1
227,,named,1
228,,boat,1
229,,action,1
230,,hardworking,1
231,,water,1
232,,without,1
233,,ruling,1
234,,victory,1
235,,want,1
236,,lower,1
237,,prices,1
238,,choices,1
239,,fight,1
240,,enforce,1
241,,antitrust,1
242,,laws,1
243,,everything,1
244,,power,1
245,,build,1
246,,progress,1
247,,growing,1
248,,lowering,1
249,,costs,1
250,,standing,1
251,,attempts,1
252,,extreme,1
253,,Republican,1
254,,officials,1
255,,giveaways,1
256,,corporations,1
257,,undermine,1
258,,someone,1
259,,Lauren,1
260,,Juan,1
261,,two,1
262,,Pennsylvanians,1
263,,determination,1
264,,embody,1
265,,story,1
266,,making,1
267,,comeback,1
268,,nationwide,1
269,,KnNTJGKHuc,1
270,,week,1
271,,learned,1
272,,filed,1
273,,applications,1
274,,first,1
275,,three,1
276,,acts,1
277,,record,1
278,,Small,1
279,,ones,1
280,,dropped,1
281,,Allentown,1
282,,area,1
283,,employ,1
284,,nearly,1
285,,private,1
286,,sector,1
287,,workers,1
288,,Hardworking,1
289,,deserve,1
290,,real,1
291,,i6YF5PDfU6,1
