,profiles,kw,count
0,Palmswaporg,PALM,11
1,,co,10
2,,Palmswaporg,9
3,,trading,7
4,,Total,7
5,,DEX,5
6,,USDT,4
7,,V2,4
8,,new,3
9,,liquidity,3
10,,Join,3
11,,PLP,3
12,,users,3
13,,earnings,3
14,,us,3
15,,Giveaway,3
16,,control,3
17,,Market,2
18,,BNB,2
19,,make,2
20,,staking,2
21,,passiveincome,2
22,,rewards,2
23,,winner,2
24,,Chronicles,2
25,,Trade,2
26,,Palmswap,2
27,,potential,2
28,,post,2
29,,complete,2
30,,APR,2
31,,must,2
32,,DeFi,2
33,,entries,2
34,,accounts,2
35,,Winner,2
36,,comic,2
37,,series,2
38,,name,2
39,,Weekly,1
40,,Report,1
41,,Bitcoin,1
42,,Suisse,1
43,,partnership,1
44,,aims,1
45,,expand,1
46,,Europe,1
47,,SEC,1
48,,delays,1
49,,decision,1
50,,Fidelity,1
51,,spot,1
52,,Ethereum,1
53,,ETF,1
54,,per,1
55,,filing,1
56,,cap,1
57,,surpasses,1
58,,46B,1
59,,recent,1
60,,price,1
61,,action,1
62,,CryptoNews,1
63,,Crypto,1
64,,BTC,1
65,,ETH,1
66,,d01cjoWCea,1
67,,ecosystem,1
68,,grow,1
69,,Stake,1
70,,day,1
71,,cooldown,1
72,,lock,1
73,,period,1
74,,return,1
75,,claimable,1
76,,time,1
77,,Even,1
78,,better,1
79,,compound,1
80,,profits,1
81,,immediately,1
82,,back,1
83,,greater,1
84,,PYZnArTHAp,1
85,,Palmverse,1
86,,Congrats,1
87,,penitentrobot,1
88,,great,1
89,,title,1
90,,please,1
91,,DM,1
92,,claim,1
93,,prize,1
94,,Thanks,1
95,,participated,1
96,,stay,1
97,,tuned,1
98,,contests,1
99,,1st,1
100,,official,1
101,,issue,1
102,,comics,1
103,,comicbook,1
104,,aNLpR8AB1S,1
105,,pro,1
106,,Discover,1
107,,learn,1
108,,art,1
109,,expert,1
110,,cutting,1
111,,edge,1
112,,Unlock,1
113,,elevate,1
114,,skills,1
115,,heights,1
116,,today,1
117,,start,1
118,,journey,1
119,,towards,1
120,,financial,1
121,,success,1
122,,m10py15khO,1
123,,dawn,1
124,,closing,1
125,,Time,1
126,,running,1
127,,sun,1
128,,set,1
129,,yet,1
130,,quest,1
131,,dare,1
132,,might,1
133,,even,1
134,,REWARD,1
135,,Make,1
136,,sure,1
137,,submit,1
138,,entry,1
139,,quoted,1
140,,still,1
141,,0DjvXcscTs,1
142,,Want,1
143,,power,1
144,,trades,1
145,,traders,1
146,,amplify,1
147,,gains,1
148,,multiply,1
149,,trades',1
150,,50X,1
151,,leverage,1
152,,Manage,1
153,,risks,1
154,,effectively,1
155,,implement,1
156,,strategy,1
157,,positions,1
158,,0I4zp8bTxn,1
159,,platform,1
160,,staked,1
161,,earn,1
162,,stake,1
163,,provide,1
164,,RThohCgdqM,1
165,,Stats,1
166,,volume,1
167,,10M,1
168,,fees,1
169,,LPs,1
170,,value,1
171,,e31YxkP5Jv,1
172,,counter,1
173,,traditional,1
174,,finance,1
175,,give,1
176,,assets,1
177,,access,1
178,,services,1
179,,applications,1
180,,protocols,1
181,,maintain,1
182,,full,1
183,,custody,1
184,,crypto,1
185,,holdings,1
186,,times,1
187,,Cryptocurency,1
188,,P1PeW4isZ2,1
189,,Disclaimer,1
190,,Contestants,1
191,,MUST,1
192,,requirements,1
193,,count,1
194,,Unlimited,1
195,,long,1
196,,submission,1
197,,different,1
198,,tagged,1
199,,selected,1
200,,team,1
201,,based,1
202,,preference,1
203,,deadline,1
204,,announced,1
205,,Naming,1
206,,contest,1
207,,crowd,1
208,,loved,1
209,,first,1
210,,style,1
211,,Help,1
212,,competition,1
213,,Follow,1
214,,Tag,1
215,,Prize,1
216,,single,1
217,,takes,1
218,,d9Lfcue0CK,1
