,profiles,kw,count
0,PancakeSwap,co,15
1,,PancakeSwap,8
2,,GUI,5
3,,win,4
4,,share,4
5,,APT,4
6,,Join,3
7,,Aptos,3
8,,BNB,3
9,,rewards,3
10,,INU,2
11,,Trading,2
12,,Competition,2
13,,friends,2
14,,tweet,2
15,,Jan,2
16,,winners,2
17,,volume,2
18,,live,2
19,,LP,2
20,,tokens,2
21,,Earn,2
22,,CAKE,2
23,,Check,2
24,,pairs,2
25,,favorite,2
26,,kickstart,2
27,,Explore,2
28,,Chain,2
29,,Challenge,2
30,,receive,2
31,,free,2
32,,MantaNetwork,2
33,,RT,2
34,,DeFi,2
35,,Prediction,2
36,,Spread,1
37,,Word,1
38,,worth,1
39,,participate,1
40,,Follow,1
41,,guiinuonaptos,1
42,,repost,1
43,,tag,1
44,,Guiinu,1
45,,Quote,1
46,,RboeY0AoXM,1
47,,INUTrading,1
48,,Campaign,1
49,,Duration,1
50,,19th,1
51,,26th,1
52,,Trade,1
53,,pair,1
54,,lucky,1
55,,Top,1
56,,traders,1
57,,based,1
58,,total,1
59,,1J3E06EGwm,1
60,,AmnisFinance,1
61,,Farms,1
62,,dual,1
63,,incentives,1
64,,Stake,1
65,,amAPT,1
66,,stAPT,1
67,,FmD3Vffkfz,1
68,,APR,1
69,,drop,1
70,,liquidity,1
71,,increases,1
72,,C0zhQ004hL,1
73,,week,1
74,,hottest,1
75,,token,1
76,,gems,1
77,,holding,1
78,,portfolio,1
79,,Share,1
80,,year,1
81,,insights,1
82,,farming,1
83,,community,1
84,,trending,1
85,,farms,1
86,,txwZlLhecW,1
87,,Ethereum,1
88,,heRtymN54Z,1
89,,Happy,1
90,,Birthday,1
91,,Dive,1
92,,easiest,1
93,,way,1
94,,SWAP,1
95,,Best,1
96,,rates,1
97,,amp,1
98,,smooth,1
99,,trading,1
100,,YZLnvc3yjW,1
101,,updated,1
102,,fixed,1
103,,issues,1
104,,Galxe,1
105,,credentials,1
106,,Thank,1
107,,prompt,1
108,,feedback,1
109,,PCSAmbassadors,1
110,,cake,1
111,,Name,1
112,,Service,1
113,,Quest,1
114,,OAT,1
115,,BkQ0Lb87Rr,1
116,,Got,1
117,,answer,1
118,,path,1
119,,USDT,1
120,,Mastery,1
121,,Newbies,1
122,,WrJ3MV1BkM,1
123,,Pros,1
124,,zFZSoIyD2H,1
125,,Feel,1
126,,tackle,1
127,,vpZcuNjyLt,1
128,,warm,1
129,,welcome,1
130,,MANTA,1
131,,Swap,1
132,,yYyCtv9F4a,1
133,,U8Vuijc6qr,1
134,,overnight_fi,1
135,,smell,1
136,,new,1
137,,awesome,1
138,,opportunity,1
139,,farm,1
140,,tasty,1
141,,yields,1
142,,Arbitrum,1
143,,Starting,1
144,,epoch,1
145,,initiating,1
146,,brib,1
147,,ℹ,1
148,,Please,1
149,,note,1
150,,number,1
151,,subject,1
152,,various,1
153,,external,1
154,,factors,1
155,,may,1
156,,match,1
157,,Access,1
158,,anytime,1
159,,diverse,1
160,,range,1
161,,products,1
162,,elevate,1
163,,journey,1
164,,oBrhgmOeqf,1
165,,BNBCHAIN,1
166,,headed,1
167,,stretch,1
168,,opBNB,1
169,,New,1
170,,Year,1
171,,Celebration,1
172,,time,1
173,,weekend,1
174,,Panc,1
175,,Congratulations,1
176,,Launch,1
177,,zkSync,1
178,,celebratory,1
179,,campaign,1
180,,winning,1
181,,addresses,1
182,,lNdcyR1P8f,1
183,,Thanks,1
184,,everyone,1
185,,participated,1
186,,Use,1
187,,skills,1
188,,predict,1
189,,ETH,1
190,,price,1
