,profiles,kw,count
0,Pancakesbrah,co,14
1,,RT,11
2,,bro,9
3,,wassie,8
4,,bros,5
5,,mon_rovia_boy,4
6,,people,3
7,,alt,3
8,,good,3
9,,ask,2
10,,guy,2
11,,new,2
12,,come,2
13,,calm,2
14,,storm,2
15,,think,2
16,,much,2
17,,crypto,2
18,,love,2
19,,look,2
20,,yo,2
21,,high,2
22,,ze,2
23,,know,2
24,,Forget,1
25,,mistake,1
26,,Remember,1
27,,lesson,1
28,,care,1
29,,read,1
30,,paying,1
31,,dHD03bzDLC,1
32,,MonkeyCharts,1
33,,stole,1
34,,Pancakesbrah,1
35,,whole,1
36,,flow,1
37,,n3dQdw7xCm,1
38,,Conviction,1
39,,changes,1
40,,fast,1
41,,expect,1
42,,anyone,1
43,,waste,1
44,,years,1
45,,lives,1
46,,figuring,1
47,,make,1
48,,money,1
49,,space,1
50,,omg,1
51,,hilarious,1
52,,Stop,1
53,,trying,1
54,,pass,1
55,,Hey,1
56,,hang,1
57,,inversebrah,1
58,,team,1
59,,Monday,1
60,,spaces,1
61,,chaotic,1
62,,unplanned,1
63,,fun,1
64,,szn,1
65,,OYAHffHLay,1
66,,Bridging,1
67,,blast,1
68,,T8ZvCVMzAk,1
69,,warned,1
70,,x8AbJWdmWT,1
71,,First,1
72,,cobie,1
73,,everyone,1
74,,smolting,1
75,,reo,1
76,,dislike,1
77,,name,1
78,,pancakes,1
79,,37ymA9RMjl,1
80,,became,1
81,,backer,1
82,,ABC,1
83,,ProofOfEly,1
84,,soundxyz_,1
85,,Us,1
86,,old,1
87,,coaching,1
88,,kids,1
89,,next,1
90,,cycle,1
91,,ya,1
92,,ready,1
93,,3OP3xf0TDB,1
94,,Happy,1
95,,Sunday,1
96,,family,1
97,,last,1
98,,days,1
99,,Thank,1
100,,hope,1
101,,brings,1
102,,peace,1
103,,c,1
104,,bts,1
105,,photoshoot,1
106,,wif,1
107,,juliazanettini,1
108,,YjOAEpkjiq,1
109,,XMaximist,1
110,,Unreal,1
111,,Talented,1
112,,understatement,1
113,,dubzyxbt,1
114,,talented,1
115,,app,1
116,,forget,1
117,,away,1
118,,charts,1
119,,remember,1
120,,life,1
121,,Mfs,1
122,,wearing,1
123,,private,1
124,,school,1
125,,dress,1
126,,code,1
127,,wonder,1
128,,divorce,1
129,,rate,1
130,,limited,1
131,,merch,1
132,,drop,1
133,,soon,1
134,,aw,1
135,,ty,1
136,,ShawnTooSoon,1
137,,amazing,1
138,,designs,1
139,,Lz5MhHGJOY,1
140,,prefer,1
141,,kindling,1
142,,start,1
143,,fire,1
144,,without,1
145,,end,1
146,,burn,1
147,,maxxing,1
148,,mu72he4SSJ,1
149,,annoying,1
150,,lil,1
151,,shid,1
152,,77Gq1TZDVm,1
153,,0xRadar,1
154,,vibe,1
155,,boy,1
156,,songs,1
157,,QdHqTazWDX,1
158,,Based,1
159,,boys,1
160,,yall,1
161,,even,1
162,,word,1
163,,means,1
164,,BasedGod,1
165,,hvQ6cS95wo,1
166,,never,1
167,,LQKNVKSvvP,1
