,profiles,kw,count
0,Pentosh1,co,9
1,,time,5
2,,say,5
3,,people,4
4,,even,4
5,,lot,4
6,,crypto,4
7,,change,4
8,,think,4
9,,btc,3
10,,past,3
11,,days,3
12,,going,3
13,,new,3
14,,range,3
15,,half,2
16,,one,2
17,,always,2
18,,halving,2
19,,coming,2
20,,support,2
21,,high,2
22,,though,2
23,,took,2
24,,today,2
25,,plays,2
26,,held,2
27,,often,2
28,,sol,2
29,,Think,2
30,,consolidation,2
31,,mid,2
32,,live,2
33,,Peng,1
34,,reveal,1
35,,750k,1
36,,Lower,1
37,,right,1
38,,image,1
39,,YzIFKit9pU,1
40,,w0fGW21iFw,1
41,,URQwW0cc6q,1
42,,sell,1
43,,sold,1
44,,underwriting,1
45,,Barry,1
46,,unloading,1
47,,week,1
48,,couple,1
49,,meet,1
50,,Habibi,1
51,,come,1
52,,Dubai,1
53,,MHTChn05o8,1
54,,Europe,1
55,,dryer,1
56,,air,1
57,,conditioner,1
58,,Sometimes,1
59,,invite,1
60,,Europeans,1
61,,let,1
62,,push,1
63,,buttons,1
64,,machines,1
65,,almost,1
66,,clap,1
67,,seals,1
68,,laugh,1
69,,wholesome,1
70,,watching,1
71,,animal,1
72,,historically,1
73,,year,1
74,,alt,1
75,,blow,1
76,,top,1
77,,happened,1
78,,yet,1
79,,mined,1
80,,cut,1
81,,needing,1
82,,inflows,1
83,,daily,1
84,,peoples,1
85,,access,1
86,,buy,1
87,,ath,1
88,,Hard,1
89,,general,1
90,,pain,1
91,,tolerance,1
92,,likely,1
93,,face,1
94,,adversity,1
95,,course,1
96,,go,1
97,,college,1
98,,mom,1
99,,crack,1
100,,addict,1
101,,two,1
102,,things,1
103,,never,1
104,,bc,1
105,,lead,1
106,,path,1
107,,Luckily,1
108,,grandma,1
109,,really,1
110,,afford,1
111,,Life,1
112,,easy,1
113,,Without,1
114,,presidencies,1
115,,away,1
116,,first,1
117,,sitting,1
118,,president,1
119,,holding,1
120,,anyway,1
121,,look,1
122,,events,1
123,,years,1
124,,20T,1
125,,market,1
126,,cap,1
127,,day,1
128,,groups,1
129,,hate,1
130,,confidently,1
131,,minds,1
132,,Boomers,1
133,,embrace,1
134,,dare,1
135,,People,1
136,,got,1
137,,lucky,1
138,,conviction,1
139,,mind,1
140,,minutes,1
141,,believed,1
142,,ups,1
143,,downs,1
144,,Trading,1
145,,great,1
146,,projects,1
147,,potential,1
148,,perform,1
149,,Alts,1
150,,update,1
151,,makes,1
152,,highs,1
153,,Let,1
154,,tell,1
155,,something,1
156,,son,1
157,,need,1
158,,charts,1
159,,0pFj5KlljD,1
160,,metis,1
161,,large,1
162,,impulses,1
163,,moves,1
164,,underestimate,1
165,,axis,1
166,,part,1
167,,find,1
168,,way,1
169,,lose,1
170,,gains,1
171,,chart,1
172,,nothing,1
173,,bias,1
174,,Consolidation,1
175,,form,1
176,,correction,1
177,,fwiw,1
178,,good,1
179,,eco,1
180,,mean,1
181,,accumulate,1
182,,SOL,1
183,,take,1
184,,play,1
185,,far,1
186,,following,1
187,,squiggly,1
188,,bounced,1
189,,least,1
190,,somewhere,1
191,,Even,1
192,,see,1
193,,area,1
194,,ZtPFn4gCSA,1
195,,ETH,1
196,,Went,1
197,,Year,1
198,,long,1
199,,Expect,1
200,,higher,1
201,,sometime,1
202,,Q1,1
203,,early,1
204,,Q2,1
205,,i8fJVHlGyi,1
206,,BEAM,1
207,,well,1
208,,month,1
209,,200k,1
210,,burned,1
211,,yesterday,1
212,,165k,1
213,,vertical,1
214,,wonder,1
215,,happens,1
216,,running,1
217,,DndWaQWUku,1
218,,Trump,1
219,,ad,1
220,,bj5EF1f2Bz,1
