,profiles,kw,count
0,PrithviOfficial,co,4
1,,ready,1
2,,action,1
3,,extravaganza,1
4,,SalaarCeaseFire,1
5,,streaming,1
6,,NetflixIndia,1
7,,Jan,1
8,,Telugu,1
9,,Kannada,1
10,,Malayalam,1
11,,amp,1
12,,Tamil,1
13,,Salaar,1
14,,Prabhas,1
15,,PrashanthNeel,1
16,,shrutihaasan,1
17,,VKiragandur,1
18,,hombalefilms,1
19,,ChaluveG,1
20,,IamJagguBhai,1
21,,sriyareddy,1
22,,RaviBasrur,1
23,,bhuvangowda84,1
24,,49LmRoMMzm,1
25,,Happy,1
26,,birthday,1
27,,brother,1
28,,little,1
29,,capable,1
30,,world,1
31,,seen,1
32,,till,1
33,,dreams,1
34,,big,1
35,,plans,1
36,,ahead,1
37,,Wish,1
38,,spectacular,1
39,,year,1
40,,aliabbaszafar,1
41,,Utw1h55klH,1
42,,j2JVgWOqNI,1
43,,always,1
44,,light,1
45,,end,1
46,,tunnel,1
47,,Watch,1
48,,extraordinary,1
49,,tale,1
50,,hope,1
51,,DirectorBlessy,1
52,,arrahman,1
53,,benyamin_bh,1
54,,prithviofficial,1
55,,Amala_ams,1
56,,Haitianhero,1
57,,rikaby,1
58,,resulp,1
59,,TheGoatLife,1
60,,TheGoatLifeFilm,1
61,,TheGoatLifeMovie,1
62,,Aadujeevitham,1
63,,Blessy,1
64,,Benyamin,1
65,,STneVscOF5,1
