,profiles,kw,count
0,PunksOnBitcoin,Punk,11
1,,co,8
2,,day,7
3,,inscription,7
4,,Male,5
5,,Shadow,3
6,,Beard,3
7,,ordinals,3
8,,beard,3
9,,Headband,2
10,,Horned,2
11,,Rim,2
12,,Glasses,2
13,,gaze,2
14,,look,2
15,,living,2
16,,Earring,2
17,,smile,2
18,,Top,2
19,,Hat,2
20,,dark,2
21,,green,2
22,,eyes,2
23,,cigarette,2
24,,bored,2
25,,Keffiyeh,2
26,,Hair,2
27,,Sporting,1
28,,determined,1
29,,fixed,1
30,,goal,1
31,,Ready,1
32,,conquer,1
33,,competition,1
34,,comes,1
35,,way,1
36,,q2YRAjUNQI,1
37,,Hey,1
38,,ord_io,1
39,,beyond,1
40,,already,1
41,,ordinal,1
42,,Bitcoin,1
43,,2CayChkZWC,1
44,,Silver,1
45,,Chain,1
46,,rag,1
47,,confident,1
48,,somewhat,1
49,,rebellious,1
50,,faint,1
51,,seems,1
52,,know,1
53,,wants,1
54,,simply,1
55,,satisfied,1
56,,PusTptt53J,1
57,,Female,1
58,,Red,1
59,,Mohawk,1
60,,Big,1
61,,Shades,1
62,,Magenta,1
63,,Lipstick,1
64,,daring,1
65,,woman,1
66,,vibrant,1
67,,edgy,1
68,,style,1
69,,vssJd5NLUC,1
70,,impeccably,1
71,,groomed,1
72,,beneath,1
73,,refinement,1
74,,lies,1
75,,enigmatic,1
76,,qv4EyqCzBv,1
77,,Ape,1
78,,Looking,1
79,,smoking,1
80,,must,1
81,,monkey,1
82,,lives,1
83,,thinking,1
84,,1x9EEywWki,1
85,,Normal,1
86,,Groomed,1
87,,customary,1
88,,staring,1
89,,surroundings,1
90,,something,1
91,,sweep,1
92,,probably,1
93,,nothing,1
94,,left,1
95,,judging,1
96,,W9Pq1hcyLG,1
97,,Wild,1
98,,tousled,1
99,,mocking,1
100,,former,1
101,,entrepreneur,1
102,,CEO,1
103,,well,1
104,,known,1
105,,trading,1
106,,platform,1
107,,looks,1
108,,growth,1
109,,world,1
110,,SepjVmeeyP,1
