,profiles,kw,count
0,RewindAI,co,4
1,,AI,3
2,,Life,2
3,,Rewind,2
4,,investors,2
5,,questions,2
6,,RT,2
7,,wearable,2
8,,memory,2
9,,busy,1
10,,founder,1
11,,Dan,1
12,,Siroker,1
13,,leader,1
14,,team,1
15,,people,1
16,,father,1
17,,kids,1
18,,optimize,1
19,,time,1
20,,things,1
21,,matter,1
22,,set,1
23,,priorities,1
24,,built,1
25,,personal,1
26,,challenge,1
27,,faced,1
28,,recap,1
29,,feature,1
30,,allows,1
31,,AtcpqDXfEe,1
32,,raised,1
33,,funds,1
34,,top,1
35,,tier,1
36,,including,1
37,,a16z,1
38,,SamAltman,1
39,,OpenAI,1
40,,founders,1
41,,navigate,1
42,,process,1
43,,getting,1
44,,agree,1
45,,rules,1
46,,keep,1
47,,control,1
48,,curious,1
49,,founding,1
50,,journey,1
51,,jY1YzD1mGg,1
52,,rileybrown_ai,1
53,,Tool,1
54,,Real,1
55,,Jarvis,1
56,,GPT,1
57,,connected,1
58,,everything,1
59,,mac,1
60,,ask,1
61,,Introducing,1
62,,pendant,1
63,,dsiroker,1
64,,device,1
65,,help,1
66,,captures,1
67,,say,1
68,,hear,1
69,,real,1
70,,world,1
71,,transcribes,1
72,,encrypts,1
73,,stores,1
74,,entirely,1
75,,local,1
76,,phone,1
77,,Imagine,1
78,,augment,1
79,,T2JP3ssv8q,1
80,,merwanehamadi,1
81,,Hmm,1
82,,see,1
83,,RewindAI,1
84,,pretty,1
85,,useful,1
86,,account,1
87,,executives,1
88,,personalized,1
89,,follow,1
90,,ups,1
91,,scale,1
92,,based,1
93,,meetin,1
