,profiles,kw,count
0,RiceMaximalist,ETH,4
1,,cycle,3
2,,sol,3
3,,meme,3
4,,bro,3
5,,RT,2
6,,even,2
7,,eth,2
8,,gas,2
9,,ETF,2
10,,co,2
11,,yall,2
12,,leverage,2
13,,ZeMirch,1
14,,holy,1
15,,fuck,1
16,,stressful,1
17,,bids,1
18,,job,1
19,,without,1
20,,nuked,1
21,,satoshiheist,1
22,,pointed,1
23,,holyshit,1
24,,pendle,1
25,,fkn,1
26,,stronk,1
27,,man,1
28,,poor,1
29,,afford,1
30,,anymore,1
31,,resort,1
32,,gambling,1
33,,much,1
34,,cheaper,1
35,,market,1
36,,trades,1
37,,freed,1
38,,bonds,1
39,,tardfi,1
40,,kind,1
41,,enjoy,1
42,,suggest,1
43,,look,1
44,,vs,1
45,,want,1
46,,necc,1
47,,BTC,1
48,,approval,1
49,,told,1
50,,rotate,1
51,,beta,1
52,,szn,1
53,,tokenization,1
54,,meanwhile,1
55,,PEwk38b7KS,1
56,,remind,1
57,,Sabnock66,1
58,,Honestly,1
59,,whatever,1
60,,Vitalik,1
61,,likes,1
62,,probably,1
63,,best,1
64,,definition,1
65,,gotten,1
66,,far,1
67,,Ethereum,1
68,,alignment,1
69,,means,1
70,,super,1
71,,interesting,1
72,,many,1
73,,coins,1
74,,dead,1
75,,yet,1
76,,almost,1
77,,mercenary,1
78,,capital,1
79,,willing,1
80,,stay,1
81,,chain,1
82,,twitter,1
83,,list,1
84,,projects,1
85,,claiming,1
86,,next,1
87,,ohm,1
88,,Cobie,1
89,,GCR,1
90,,name,1
91,,start,1
92,,C,1
93,,coincidence,1
94,,think,1
95,,woke,1
96,,check,1
97,,prices,1
98,,wtf,1
99,,pudgy,1
100,,penguins,1
101,,positions,1
102,,close,1
103,,according,1
104,,parsec_finance,1
105,,chill,1
106,,k9eCsjHNaR,1
