,profiles,kw,count
0,RichardDawkins,Alex,2
1,,Join,1
2,,new,1
3,,conversation,1
4,,O'Connor,1
5,,CosmicSkeptic,1
6,,discuss,1
7,,range,1
8,,topics,1
9,,including,1
10,,Jordan,1
11,,Peterson,1
12,,Ayaan,1
13,,Hirsi,1
14,,Ali,1
15,,journey,1
16,,Christianity,1
17,,bafflement,1
18,,stand,1
19,,three,1
20,,years,1
21,,studying,1
22,,non,1
23,,subject,1
24,,theology,1
25,,fear,1
26,,death,1
27,,Religion,1
28,,science,1
29,,usually,1
30,,opposite,1
31,,ends,1
32,,boxing,1
33,,ring,1
34,,episode,1
35,,George,1
36,,Coyne,1
37,,Catholic,1
38,,Church,1
39,,proposes,1
40,,God,1
41,,evolution,1
42,,fact,1
43,,work,1
44,,effortlessly,1
45,,together,1
46,,right,1
47,,co,1
48,,a1czcdQFm2,1
