,profiles,kw,count
0,Ronin_Network,Ronin,15
1,,Wallet,8
2,,co,7
3,,Axie,4
4,,new,4
5,,know,3
6,,game,3
7,,one,3
8,,join,3
9,,chain,3
10,,design,3
11,,Make,3
12,,sure,3
13,,Read,2
14,,need,2
15,,Infinity,2
16,,coming,2
17,,features,2
18,,Today,2
19,,movement,2
20,,MPC,2
21,,security,2
22,,multi,2
23,,support,2
24,,app,2
25,,Mavis,2
26,,Ethereum,2
27,,Yes,2
28,,store,2
29,,RT,2
30,,pixels_online,1
31,,P2A,1
32,,wrapped,1
33,,post,1
34,,info,1
35,,next,1
36,,steps,1
37,,Homeland,1
38,,Beta,1
39,,soon,1
40,,Let,1
41,,GaspodeWD,1
42,,full,1
43,,review,1
44,,themachinesgame,1
45,,Changing,1
46,,product,1
47,,time,1
48,,bear,1
49,,market,1
50,,last,1
51,,year,1
52,,2M,1
53,,people,1
54,,created,1
55,,laying,1
56,,foundation,1
57,,even,1
58,,allies,1
59,,Update,1
60,,access,1
61,,s4qjsdvfMa,1
62,,functional,1
63,,aesthetic,1
64,,See,1
65,,NFT,1
66,,details,1
67,,View,1
68,,individual,1
69,,token,1
70,,activity,1
71,,history,1
72,,Use,1
73,,browser,1
74,,Receive,1
75,,Sky,1
76,,Access,1
77,,mentioned,1
78,,including,1
79,,9i7EDjGuJM,1
80,,always,1
81,,aligned,1
82,,easier,1
83,,Ethereans,1
84,,Introducing,1
85,,works,1
86,,MAxezJeJhb,1
87,,evolves,1
88,,Stronger,1
89,,New,1
90,,blockchains,1
91,,sleeker,1
92,,intuitive,1
93,,Check,1
94,,preferred,1
95,,latest,1
96,,update,1
97,,feel,1
98,,future,1
99,,gaming,1
100,,fingertips,1
101,,XEYbytlfVD,1
102,,gamer,1
103,,d85zyEa7gA,1
104,,check,1
105,,axieraylights,1
106,,available,1
107,,play,1
108,,Hub,1
109,,launcher,1
110,,BattleBears,1
111,,Epic,1
112,,BattleRoyale,1
113,,finish,1
114,,semi,1
115,,pro,1
116,,players,1
117,,Aesir_Axie,1
118,,whereisnelle,1
119,,BattleBearsHeroes,1
120,,becoming,1
121,,PIXELSP2A,1
122,,ranking,1
123,,strength,1
124,,comes,1
125,,thriving,1
126,,community,1
127,,creators,1
128,,Thank,1
129,,TonyBlock_,1
130,,team,1
131,,creating,1
132,,onboarding,1
133,,guide,1
134,,want,1
135,,see,1
136,,added,1
137,,oBvYhJuUK9,1
138,,merch,1
139,,closes,1
140,,grab,1
141,,something,1
142,,late,1
143,,Gaming,1
144,,thrives,1
145,,GIF,1
146,,Credit,1
147,,_burntcoffee,1
148,,IP412By48N,1
149,,Design,1
150,,Hero,1
151,,competition,1
152,,playwildforest,1
153,,bring,1
154,,ideas,1
155,,life,1
156,,bikutaa_AA,1
157,,Stella,1
158,,found,1
159,,Apeiron,1
160,,Godiverse,1
161,,win,1
162,,prizes,1
163,,th,1
164,,Obsessed,1
165,,RoninGym,1
166,,Network,1
