,profiles,kw,count
0,SandclockOrg,ETH,5
1,,Starknet,4
2,,QUARTZ,4
3,,co,4
4,,Sandclock,4
5,,new,3
6,,us,3
7,,Mining,2
8,,exposure,2
9,,launched,2
10,,time,2
11,,TOKEN,2
12,,exciting,2
13,,share,2
14,,one,2
15,,assets,2
16,,Soon,1
17,,two,1
18,,contenders,1
19,,arrive,1
20,,colosseum,1
21,,Let,1
22,,forget,1
23,,EXTRA,1
24,,APY,1
25,,boost,1
26,,TVL,1
27,,campaign,1
28,,distributing,1
29,,rewards,1
30,,Join,1
31,,ogv3Zea6NM,1
32,,strategy,1
33,,working,1
34,,perfectly,1
35,,intended,1
36,,choice,1
37,,comes,1
38,,user,1
39,,risk,1
40,,appetite,1
41,,Seeking,1
42,,Opt,1
43,,Emerald,1
44,,Want,1
45,,playing,1
46,,safe,1
47,,Choose,1
48,,Opal,1
49,,Anticipating,1
50,,surge,1
51,,liquidation,1
52,,soon,1
53,,Go,1
54,,Amber,1
55,,v2,1
56,,November,1
57,,Time,1
58,,update,1
59,,vault,1
60,,performance,1
61,,days,1
62,,8gLkVRrvB0,1
63,,感谢,1
64,,中文区的转推,1
65,,等我们筹备好引进Starknet生态再和,1
66,,Stark友们见面吧,1
67,,evangelize,1
68,,teaming,1
69,,marketing,1
70,,agency,1
71,,lead,1
72,,efforts,1
73,,spread,1
74,,word,1
75,,incredible,1
76,,journey,1
77,,LSD,1
78,,BURNINNNNG,1
79,,considering,1
80,,burning,1
81,,30m,1
82,,designated,1
83,,Charity,1
84,,learned,1
85,,product,1
86,,market,1
87,,fit,1
88,,DAO,1
89,,holds,1
90,,ultimate,1
91,,power,1
92,,submitting,1
93,,proposal,1
94,,voting,1
95,,updates,1
96,,Buckle,1
97,,long,1
98,,strategically,1
99,,overhauled,1
100,,core,1
101,,architecture,1
102,,tokenized,1
103,,vaults,1
104,,Paving,1
105,,pathway,1
106,,great,1
107,,yfAN1yC3Gz,1
108,,LSDFi,1
109,,Insurance,1
110,,ETF,1
111,,Wondering,1
112,,make,1
113,,idle,1
114,,Try,1
115,,park,1
116,,handle,1
117,,rest,1
118,,FlZo4m0O4d,1
119,,got,1
120,,homepage,1
121,,getting,1
122,,major,1
123,,upgrade,1
124,,improved,1
125,,version,1
126,,able,1
127,,easily,1
128,,understand,1
129,,platform,1
130,,works,1
131,,view,1
132,,strategies,1
133,,convenient,1
134,,place,1
135,,Investing,1
136,,never,1
137,,easier,1
138,,Say,1
139,,goodbye,1
140,,lot,1
141,,offer,1
142,,Keep,1
143,,eye,1
