,profiles,kw,count
0,ScallopOfficial,Scallop,12
1,,Chain,11
2,,Web3,7
3,,co,6
4,,RWA,5
5,,RT,5
6,,SCLP,5
7,,tech,3
8,,transaction,3
9,,ZKP,3
10,,data,3
11,,user,3
12,,Wallet,3
13,,Crypto,2
14,,Fueling,2
15,,Sclp,2
16,,leverages,2
17,,Zero,2
18,,Knowledge,2
19,,Proof,2
20,,ensure,2
21,,privacy,2
22,,projects,2
23,,power,2
24,,ScallopOfficial,2
25,,compliance,2
26,,new,2
27,,protection,2
28,,control,2
29,,crucial,2
30,,blockchain,2
31,,maintaining,2
32,,Discover,2
33,,traditional,2
34,,Biometric,2
35,,sclp,2
36,,Ready,1
37,,Revolution,1
38,,game,1
39,,changer,1
40,,space,1
41,,waited,1
42,,mass,1
43,,adoption,1
44,,Unlocking,1
45,,investments,1
46,,Transforming,1
47,,path,1
48,,leveraging,1
49,,trillion,1
50,,market,1
51,,oO72222lgb,1
52,,SilverBulletBTC,1
53,,cryptogra,1
54,,VitaliiTrade,1
55,,Elevate,1
56,,dynamic,1
57,,concept,1
58,,Create,1
59,,fas,1
60,,Supercharge,1
61,,ideation,1
62,,regulation,1
63,,covered,1
64,,Build,1
65,,fast,1
66,,secure,1
67,,interoperable,1
68,,solutions,1
69,,fully,1
70,,regulated,1
71,,MiCA,1
72,,compliant,1
73,,Let,1
74,,Power,1
75,,Layer1,1
76,,A4eZUCeosq,1
77,,blockchain_goat,1
78,,Smokeyjoethepi1,1
79,,gem,1
80,,approach,1
81,,allows,1
82,,level,1
83,,evolving,1
84,,digital,1
85,,landscape,1
86,,Approach,1
87,,utilizes,1
88,,offer,1
89,,unique,1
90,,balance,1
91,,public,1
92,,private,1
93,,needs,1
94,,protects,1
95,,gives,1
96,,benefits,1
97,,decentralised,1
98,,computing,1
99,,particularly,1
100,,E,1
101,,Money,1
102,,tokens,1
103,,confidentiality,1
104,,users',1
105,,fiat,1
106,,balances,1
107,,bank,1
108,,accounts,1
109,,VaZhsDPmZq,1
110,,Turbocharge,1
111,,financial,1
112,,journey,1
113,,POWER,1
114,,banking,1
115,,fused,1
116,,INFINITE,1
117,,potential,1
118,,leaves,1
119,,banks,1
120,,old,1
121,,app,1
122,,behind,1
123,,Welcome,1
124,,experience,1
125,,4ZiPyditkq,1
126,,just_cruise_,1
127,,ScallopChain,1
128,,puts,1
129,,regulatory,1
130,,forefront,1
131,,reducing,1
132,,fraud,1
133,,risks,1
134,,safeguarding,1
135,,investor,1
136,,Ut,1
137,,token,1
138,,binding,1
139,,ecosystem,1
140,,together,1
141,,Become,1
142,,Node,1
143,,Validator,1
144,,shape,1
145,,future,1
146,,Pay,1
147,,fees,1
148,,using,1
149,,uses,1
150,,think,1
151,,Comment,1
152,,MICA,1
153,,TjfCIWXh6n,1
154,,Big,1
155,,shout,1
156,,supporters,1
157,,dexaco777,1
158,,Bridge,1
159,,security,1
160,,KYC,1
161,,mica,1
162,,scallopchain,1
163,,yU,1
