,profiles,kw,count
0,Scroll_ZKP,week,6
1,,Scroll_ZKP,6
2,,co,6
3,,sticker,6
4,,us,5
5,,Scroll,4
6,,ecosystem,3
7,,RT,3
8,,team,3
9,,BuildWithScroll,2
10,,highlight,2
11,,update,2
12,,gm,2
13,,time,2
14,,Join,2
15,,today,2
16,,00AM,2
17,,ET,2
18,,Jan,2
19,,MariaShen,2
20,,ElectricCapital,2
21,,developers,2
22,,RollCall,2
23,,Place,2
24,,entries,2
25,,design,2
26,,featuring,2
27,,scRoll,2
28,,hope,1
29,,great,1
30,,weekend,1
31,,case,1
32,,missed,1
33,,last,1
34,,recap,1
35,,Lastly,1
36,,published,1
37,,latest,1
38,,covered,1
39,,Web3,1
40,,wallets,1
41,,portfolio,1
42,,trackers,1
43,,DEXs,1
44,,Scrollers,1
45,,end,1
46,,provide,1
47,,overview,1
48,,everything,1
49,,happening,1
50,,across,1
51,,Let,1
52,,dive,1
53,,news,1
54,,2Tz1XJ6Q4D,1
55,,live,1
56,,Builders,1
57,,amazing,1
58,,projects,1
59,,building,1
60,,within,1
61,,ecos,1
62,,first,1
63,,Office,1
64,,Hours,1
65,,joined,1
66,,thegaram33,1
67,,dorukismen,1
68,,core,1
69,,sharing,1
70,,insight,1
71,,roles,1
72,,19th,1
73,,Discord,1
74,,EwbxIPwFab,1
75,,KdLs8k6ZIz,1
76,,three,1
77,,months,1
78,,launch,1
79,,Mainnet,1
80,,proud,1
81,,achieved,1
82,,far,1
83,,According,1
84,,study,1
85,,onboarded,1
86,,Q4,1
87,,ecosystems,1
88,,0oITK9AIts,1
89,,sandyzkp,1
90,,Thank,1
91,,recognition,1
92,,fastest,1
93,,growing,1
94,,overall,1
95,,Develo,1
96,,pseudotheos,1
97,,developer,1
98,,growth,1
99,,room,1
100,,everyone,1
101,,come,1
102,,build,1
103,,future,1
104,,anon,1
105,,iSGsJR,1
106,,Members,1
107,,attending,1
108,,monthly,1
109,,hosted,1
110,,CarlBeek,1
111,,adietrichs,1
112,,credibly,1
113,,neutral,1
114,,coordination,1
115,,call,1
116,,aiming,1
117,,bring,1
118,,together,1
119,,different,1
120,,L2,1
121,,collaborate,1
122,,ideas,1
123,,new,1
124,,industry,1
125,,standards,1
126,,help,1
127,,community,1
128,,Correction,1
129,,total,1
130,,prize,1
131,,pool,1
132,,amounts,1
133,,USD,1
134,,1st,1
135,,2nd,1
136,,5th,1
137,,Submissions,1
138,,open,1
139,,official,1
140,,deadline,1
141,,UTC,1
142,,finalized,1
143,,must,1
144,,submitted,1
145,,following,1
146,,form,1
147,,order,1
148,,eligible,1
149,,z8KgzhCYO7,1
150,,Additional,1
151,,Requirements,1
152,,originally,1
153,,designed,1
154,,characters,1
155,,inside,1
156,,needs,1
157,,follow,1
158,,brand,1
159,,guidelines,1
160,,Extra,1
161,,bonus,1
162,,animated,1
163,,participants,1
164,,required,1
165,,submit,1
166,,two,1
167,,individual,1
168,,based,1
169,,unique,1
170,,character,1
171,,Rock,1
172,,amp,1
173,,related,1
174,,meme,1
175,,choice,1
176,,creative,1
177,,bold,1
