,profiles,kw,count
0,Secured_Fi,co,6
1,,Campaign,5
2,,Mainnet,3
3,,Launch,3
4,,Phase,3
5,,points,3
6,,RT,3
7,,Secured_Fi,3
8,,January,3
9,,18th,3
10,,PM,3
11,,UTC,3
12,,Secured,3
13,,Finance,3
14,,Arbitrum,3
15,,entered,2
16,,Place,2
17,,pre,2
18,,open,2
19,,orders,2
20,,maturity,2
21,,earn,2
22,,part,2
23,,exciting,2
24,,Find,2
25,,details,2
26,,Join,2
27,,Community,2
28,,Call,2
29,,Discord,2
30,,stage,2
31,,repost,2
32,,final,1
33,,chapter,1
34,,DEC25,1
35,,link,1
36,,1pJNh0eeGI,1
37,,journey,1
38,,us,1
39,,Thrilled,1
40,,announce,1
41,,Q4,1
42,,amp,1
43,,Year,1
44,,End,1
45,,updates,1
46,,Dive,1
47,,reports,1
48,,Markets,1
49,,Engineering,1
50,,Digital,1
51,,Strate,1
52,,Time,1
53,,almost,1
54,,Remember,1
55,,accumulate,1
56,,tasks,1
57,,must,1
58,,finished,1
59,,77wdmQV3rM,1
60,,Grab,1
61,,chance,1
62,,expanded,1
63,,Want,1
64,,learn,1
65,,new,1
66,,step,1
67,,Check,1
68,,comprehensive,1
69,,guide,1
70,,bjZH6Lrq0C,1
71,,Experience,1
72,,fast,1
73,,low,1
74,,cost,1
75,,bond,1
76,,trading,1
77,,today,1
78,,Layer2,1
79,,DeFi,1
80,,G,1
81,,SEP25,1
82,,H,1
83,,GalxeOAT,1
84,,W3ST,1
85,,miss,1
86,,event,1
87,,Details,1
88,,ayeCNPSO3D,1
89,,1u3MF6TdTu,1
90,,zJgtGOAGdX,1
