,profiles,kw,count
0,ShellProtocol,Shell,5
1,,co,3
2,,app,2
3,,coming,2
4,,launch,2
5,,staking,2
6,,back,2
7,,audit,2
8,,report,2
9,,tWETVmiqmM,1
10,,Swap,1
11,,Balancer,1
12,,CurveFinance,1
13,,within,1
14,,Yep,1
15,,v3,1
16,,three,1
17,,days,1
18,,major,1
19,,protocol,1
20,,integrations,1
21,,token,1
22,,DAO,1
23,,CRAB,1
24,,redemption,1
25,,inbound,1
26,,Countdown,1
27,,moment,1
28,,available,1
29,,dTL7mRejRi,1
30,,Full,1
31,,TGE,1
32,,explainer,1
33,,next,1
34,,day,1
35,,Admin,1
36,,finally,1
37,,logged,1
38,,Twitter,1
39,,phone,1
40,,Multi,1
41,,sig,1
42,,multisig,1
43,,Exciting,1
44,,news,1
45,,Protocol,1
46,,code4rena,1
47,,High,1
48,,Medium,1
49,,vulnerability,1
50,,findings,1
51,,Thank,1
52,,CodeArena,1
53,,team,1
54,,wardens,1
55,,participated,1
56,,Explore,1
57,,full,1
58,,Z0VvwaDfth,1
