,profiles,kw,count
0,Shibtoken,co,11
1,,links,8
2,,tweet,4
3,,concludes,4
4,,thread,4
5,,Beware,4
6,,scams,4
7,,seems,4
8,,click,4
9,,certain,4
10,,safe,4
11,,Double,4
12,,check,4
13,,56VsqOa2jt,4
14,,official,4
15,,brand,4
16,,channels,4
17,,verification,4
18,,Bone,2
19,,Giveaway,2
20,,Shib,2
21,,land,2
22,,reply,1
23,,3J16hNBalf,1
24,,RT,1
25,,Earnbit2,1
26,,thrilled,1
27,,add,1
28,,ShibaSwap,1
29,,EarnBIT,1
30,,Exchange,1
31,,assets,1
32,,ERC,1
33,,governance,1
34,,gas,1
35,,token,1
36,,ensures,1
37,,Alert,1
38,,hour,1
39,,flash,1
40,,Retweet,1
41,,video,1
42,,chance,1
43,,win,1
44,,lucky,1
45,,winners,1
46,,selected,1
47,,via,1
48,,TwitterPicker,1
49,,receive,1
50,,store,1
51,,credits,1
52,,spend,1
53,,haIYpxhdUp,1
54,,miss,1
55,,KtcEQG2Ush,1
56,,Magazine,1
57,,reached,1
58,,10th,1
59,,edition,1
60,,Thank,1
61,,subscribers,1
62,,celebrate,1
63,,hosting,1
64,,giveaway,1
65,,collaboration,1
66,,Shibacals,1
67,,forget,1
68,,mint,1
69,,free,1
70,,NFT,1
71,,well,1
72,,QdzBxZZzgK,1
73,,Community,1
74,,side,1
75,,true,1
76,,strength,1
77,,602R68KZDl,1
78,,Choose,1
79,,quantity,1
80,,MINT,1
81,,Congratulations,1
82,,Metaverse,1
83,,pj2PzKKfdx,1
84,,Becoming,1
85,,owner,1
86,,easy,1
87,,shibthemetaverse,1
88,,K7891sA0ft,1
