,profiles,kw,count
0,SmarDex,co,18
1,,rewards,4
2,,campaign,3
3,,GBE,3
4,,SDEX,3
5,,bqg1V2dGWZ,3
6,,tokens,3
7,,Rewards,2
8,,distribution,2
9,,know,2
10,,liquidity,2
11,,WETH,2
12,,news,2
13,,sponsored,2
14,,boost,1
15,,Gambex,1
16,,doubled,1
17,,Monday,1
18,,earned,1
19,,farmers,1
20,,Initial,1
21,,starts,1
22,,soon,1
23,,miss,1
24,,6dm9YwF09Y,1
25,,C44CY5JVWU,1
26,,fuel,1
27,,finance,1
28,,tomorrow,1
29,,zi2XwSkK02,1
30,,provided,1
31,,10k,1
32,,WASSIE,1
33,,88k,1
34,,making,1
35,,Impernanent,1
36,,Gain,1
37,,UniSwap,1
38,,05k,1
39,,remaining,1
40,,Impermanent,1
41,,Loss,1
42,,trust,1
43,,verify,1
44,,wTzjpjWnkH,1
45,,oeAuKyeBzg,1
46,,Exciting,1
47,,first,1
48,,offering,1
49,,native,1
50,,Participate,1
51,,pool,1
52,,earn,1
53,,started,1
54,,iDbZ3w9XMH,1
55,,Discover,1
56,,potential,1
57,,amazing,1
58,,project,1
59,,gambex_io,1
60,,jzFb32D3sq,1
61,,got,1
62,,access,1
63,,grok,1
64,,tried,1
65,,Hey,1
66,,elonmusk,1
67,,think,1
68,,problem,1
69,,0yz2s6OJEh,1
70,,Big,1
71,,Projects,1
72,,decide,1
73,,run,1
74,,campaigns,1
75,,offer,1
76,,1da58KOG0l,1
77,,contests,1
78,,airdrops,1
79,,kind,1
80,,anyone,1
81,,particular,1
82,,activity,1
83,,Many,1
84,,fake,1
85,,links,1
86,,groups,1
87,,circulating,1
88,,well,1
89,,articles,1
90,,promising,1
91,,ways,1
92,,maximize,1
93,,earnings,1
94,,extremely,1
95,,careful,1
96,,51bhsavBiZ,1
97,,Right,1
98,,enjoy,1
99,,ROI,1
100,,new,1
101,,ZEC,1
102,,BSC,1
103,,x5aLuEqhG6,1
104,,divbVN8D1C,1
105,,QINdka0W42,1
106,,ggGpOCP5si,1
107,,farm,1
108,,week,1
109,,Everything,1
110,,need,1
111,,fJhrVJrHEO,1
