,profiles,kw,count
0,Stake,co,28
1,,AusOpen,7
2,,back,5
3,,win,5
4,,game,5
5,,bet,5
6,,Day,5
7,,slips,5
8,,player,4
9,,Winner,4
10,,market,4
11,,time,4
12,,main,3
13,,forget,3
14,,amp,3
15,,lose,3
16,,weekend,3
17,,selected,3
18,,selection,3
19,,Stake,3
20,,Eddie,3
21,,one,3
22,,take,3
23,,Yo,3
24,,X,3
25,,Brady,3
26,,us,3
27,,Back,3
28,,backing,2
29,,draw,2
30,,final,2
31,,set,2
32,,tiebreaker,2
33,,still,2
34,,score,2
35,,payout,2
36,,EkcfCGRAud,2
37,,either,2
38,,team,2
39,,earn,2
40,,Double,2
41,,Winnings,2
42,,new,2
43,,casino,2
44,,coming,2
45,,vs,2
46,,Dark,2
47,,Summoning,2
48,,winner,2
49,,Joker,2
50,,Bet,2
51,,Tell,2
52,,show,2
53,,today,2
54,,action,2
55,,Cheers,2
56,,boy,2
57,,fight,2
58,,tournament,2
59,,Show,2
60,,NFLPlayoffs,2
61,,users,2
62,,see,2
63,,profile,2
64,,look,2
65,,UFC,2
66,,UFCVegas84,2
67,,Split,2
68,,Decision,2
69,,stream,2
70,,event,1
71,,bets,1
72,,NIi9nIsH1p,1
73,,Things,1
74,,starting,1
75,,heat,1
76,,2IvQ3RZWcB,1
77,,Domestic,1
78,,soccer,1
79,,blockbusters,1
80,,matches,1
81,,1x2,1
82,,wins,1
83,,hits,1
84,,target,1
85,,qvc53tEBlR,1
86,,WtDvyrWXUY,1
87,,year,1
88,,means,1
89,,brand,1
90,,enjoy,1
91,,hot,1
92,,wide,1
93,,range,1
94,,slot,1
95,,industry,1
96,,leading,1
97,,providers,1
98,,pSO7qUiaXd,1
99,,YyqVQ8ZJBp,1
100,,way,1
101,,start,1
102,,rf6gX8Pcb4,1
103,,week,1
104,,Hacksaw,1
105,,choosing,1
106,,300x,1
107,,greater,1
108,,featured,1
109,,rewarded,1
110,,special,1
111,,prize,1
112,,RYjHX4R0OO,1
113,,30th,1
114,,seed,1
115,,Tomas,1
116,,Martin,1
117,,Etcheverry,1
118,,facing,1
119,,Djokovic,1
120,,manage,1
121,,two,1
122,,sets,1
123,,consider,1
124,,winning,1
125,,WHYgyvoINc,1
126,,5weQlSwGMe,1
127,,huge,1
128,,sport,1
129,,across,1
130,,Sjl6KXWNtC,1
131,,picks,1
132,,thoughts,1
133,,GLFTzc32sk,1
134,,Oh,1
135,,going,1
136,,UFC297,1
137,,Picks,1
138,,second,1
139,,ride,1
140,,waves,1
141,,3r2IF5NBmZ,1
142,,ready,1
143,,RzplAJnFo3,1
144,,continue,1
145,,Lions,1
146,,taking,1
147,,RamsNFL,1
148,,NFC,1
149,,showdown,1
150,,think,1
151,,choose,1
152,,correct,1
153,,answer,1
154,,receive,1
155,,credit,1
156,,Entries,1
157,,must,1
158,,KO,1
159,,8m27nqVopD,1
160,,Win,1
161,,chance,1
162,,stakef1team,1
163,,Hit,1
164,,post,1
165,,enter,1
166,,Available,1
167,,XEgJ9Bq54Z,1
168,,running,1
169,,NFL,1
170,,leads,1
171,,points,1
172,,3rd,1
173,,quarter,1
174,,goes,1
175,,match,1
176,,paid,1
177,,YSyHZ16H0A,1
178,,0xtx4RwjFs,1
179,,Make,1
180,,slick,1
181,,Change,1
182,,picture,1
183,,may,1
184,,seconds,1
185,,away,1
186,,kicking,1
187,,got,1
188,,covered,1
189,,long,1
190,,mpk5MV67AA,1
191,,Final,1
192,,Set,1
193,,Tiebreak,1
194,,EkcfCGR2EF,1
195,,Take,1
196,,WHYgyvoaXE,1
197,,8bNUBwOBHV,1
198,,Money,1
199,,Place,1
200,,markets,1
201,,stake,1
202,,loses,1
203,,jYCeJTKWVo,1
204,,uws8qq4pmC,1
205,,nearly,1
206,,another,1
207,,StakeEddie,1
208,,vacation,1
209,,SteveOnStake,1
210,,StakeMikey,1
211,,handling,1
212,,round,1
213,,Tune,1
214,,30pm,1
215,,GMT,1
216,,AaHP6qQB0d,1
217,,AO,1
218,,excited,1
219,,day,1
220,,posting,1
221,,love,1
222,,xfTWfoAx8Q,1
