,profiles,kw,count
0,StarSymphony_io,Star,5
1,,Symphony,3
2,,Easy,3
3,,Apeiron,2
4,,Let,2
5,,co,2
6,,Harvesting,2
7,,Nakama,2
8,,x,1
9,,Metaverse,1
10,,expanding,1
11,,connecting,1
12,,growing,1
13,,joined,1
14,,ApeironNFT,1
15,,Elder,1
16,,Pass,1
17,,holders,1
18,,access,1
19,,PvP,1
20,,testing,1
21,,Airdrop,1
22,,eligibility,1
23,,GO,1
24,,o88hCpz5z1,1
25,,continues,1
26,,miss,1
27,,stellar,1
28,,opportunity,1
29,,embrace,1
30,,future,1
31,,web3,1
32,,gaming,1
33,,Say,1
34,,hello,1
35,,next,1
36,,Minoru,1
37,,Misaki,1
38,,Join,1
39,,campaign,1
40,,earn,1
41,,extra,1
42,,points,1
43,,achieving,1
44,,rank,1
45,,favourite,1
46,,songs,1
47,,See,1
48,,Bad,1
49,,Impact,1
50,,New,1
51,,Reality,1
52,,sustain,1
53,,OTe5TA97LS,1
