,profiles,kw,count
0,Starknet,RT,26
1,,Starknet,17
2,,avnu_fi,4
3,,check,3
4,,co,3
5,,EliBenSasson,3
6,,telegram,2
7,,bot,2
8,,zkLend,2
9,,StarkNetAfrica,2
10,,first,2
11,,community,2
12,,production,2
13,,time,2
14,,Hello,2
15,,Degenz,2
16,,accounts,2
17,,used,2
18,,experience,2
19,,DeFi,2
20,,going,2
21,,v0,2
22,,mainnet,2
23,,improvements,2
24,,0xemre,2
25,,surprised,2
26,,zkDSL,2
27,,better,2
28,,Status,2
29,,dimahledba,1
30,,Run,1
31,,Appchain,1
32,,simply,1
33,,without,1
34,,technical,1
35,,knowledge,1
36,,requirement,1
37,,yes,1
38,,sir,1
39,,possible,1
40,,MadaraStarknet,1
41,,Deploy,1
42,,Madara,1
43,,App,1
44,,chain,1
45,,effortlessly,1
46,,using,1
47,,SpheronHQ,1
48,,SDK,1
49,,Yessir,1
50,,ou,1
51,,Year,1
52,,Unstoppable,1
53,,Growth,1
54,,Innovation,1
55,,Mainnet,1
56,,alpha,1
57,,launch,1
58,,forging,1
59,,pivotal,1
60,,partnerships,1
61,,Quick,1
62,,reminder,1
63,,call,1
64,,almost,1
65,,Dive,1
66,,world,1
67,,ERC6551,1
68,,Tokenbound,1
69,,Accounts,1
70,,composablehub,1
71,,Autonomous,1
72,,Worlds,1
73,,Daily,1
74,,fede_intern,1
75,,Lambda,1
76,,Mission,1
77,,Demo,1
78,,TarochiGame,1
79,,Wallet,1
80,,heraldofloot,1
81,,W,1
82,,christine_dkim,1
83,,Yesterday,1
84,,Eth,1
85,,devs,1
86,,debriefed,1
87,,Dencun,1
88,,Goerli,1
89,,hard,1
90,,fork,1
91,,confirmed,1
92,,timeline,1
93,,upgrading,1
94,,Sepolia,1
95,,Holesky,1
96,,testnet,1
97,,gizatechxyz,1
98,,collaboration,1
99,,class_lambda,1
100,,central,1
101,,bringing,1
102,,zkML,1
103,,efficient,1
104,,deployments,1
105,,Proud,1
106,,StarkDegenz,1
107,,advices,1
108,,avoid,1
109,,rug,1
110,,Meme,1
111,,coins,1
112,,wild,1
113,,environnement,1
114,,let,1
115,,smart,1
116,,Earlie,1
117,,StarknetHub,1
118,,Top,1
119,,projects,1
120,,active,1
121,,last,1
122,,days,1
123,,Starknet_id,1
124,,mySwapxyz,1
125,,JediSwap,1
126,,Web3zy,1
127,,user,1
128,,smooth,1
129,,Next,1
130,,gen,1
131,,take,1
132,,windrider0227,1
133,,STARK技术提供了一个通过将数千笔交易合并成一个批次,1
134,,然后在L1上用一个单一的证明进行处理,1
135,,从而增强永续合约的可扩展性的系统,1
136,,Gas,1
137,,fee降低,1
138,,交易速度增加,1
139,,为交易者提供确切性,1
140,,交易系统是按规则操作的,1
141,,我们很自豪的能够,1
142,,leoyoung_69,1
143,,的费用降低已经超过,1
144,,Arb,1
145,,直逼,1
146,,op,1
147,,下个版本,1
148,,Volition,1
149,,上线会成为费用最低的,1
150,,rollup,1
151,,Transaction,1
152,,costs,1
153,,thanks,1
154,,Cj1fGDHJ91,1
155,,looking,1
156,,good,1
157,,paulemmanuelng,1
158,,getting,1
159,,much,1
160,,happening,1
161,,hood,1
162,,Keep,1
163,,close,1
164,,eye,1
165,,Big,1
166,,news,1
167,,Version,1
168,,went,1
169,,live,1
170,,yesterday,1
171,,result,1
172,,remarkable,1
173,,reduction,1
174,,CairoLang,1
175,,Cairo,1
176,,mature,1
177,,grade,1
178,,Turing,1
179,,complete,1
180,,promising,1
181,,think,1
182,,researching,1
183,,dev,1
184,,count,1
185,,expecting,1
186,,Starkn,1
187,,StarknetEco,1
188,,GM,1
189,,Sunday,1
190,,enjoyoors,1
191,,wrap,1
192,,week,1
193,,staying,1
194,,informed,1
195,,essential,1
196,,way,1
197,,new,1
198,,pages,1
199,,want,1
200,,subscribe,1
201,,updates,1
202,,RAZAALIBUTT2,1
203,,Starknetgaming,1
204,,Lovely,1
205,,focus,1
206,,anything,1
207,,except,1
208,,focustree_app,1
209,,QRZCKrHVfx,1
210,,Churro808,1
211,,BTLayersPod,1
212,,StarkWareLtd,1
213,,Cryptography,1
214,,cool,1
215,,Good,1
216,,work,1
217,,fellas,1
218,,Senku_OG,1
219,,choose,1
220,,play,1
221,,orQiL5Rnqw,1
222,,GomezJogomez30,1
223,,Fantastic,1
224,,article,1
225,,love,1
226,,X,1
227,,rules,1
228,,gaming,1
229,,clearly,1
230,,explained,1
231,,seems,1
232,,promis,1
233,,MentorNotPseudo,1
234,,vision,1
235,,pitched,1
236,,GuthL,1
237,,ukolodny,1
238,,many,1
239,,July,1
240,,Imagine,1
241,,future,1
242,,value,1
243,,v13,1
244,,cost,1
245,,costliest,1
246,,cheapest,1
247,,quality,1
248,,security,1
249,,unalignment,1
250,,worth,1
251,,0xNurstar,1
252,,Discover,1
253,,revolutionizing,1
254,,magic,1
255,,NFT,1
256,,bound,1
257,,Community,1
258,,developed,1
259,,equivalent,1
