,profiles,kw,count
0,SuiGlobal,co,7
1,,SuiNetwork,3
2,,Sui,3
3,,prediction,2
4,,rewards,2
5,,pandora_finance,2
6,,campaigns,2
7,,ecosystem,2
8,,look,2
9,,info,1
10,,check,1
11,,docs,1
12,,2S3H7at3SY,1
13,,join,1
14,,Discord,1
15,,91xRF1iDNe,1
16,,waiting,1
17,,Let,1
18,,experience,1
19,,FIRST,1
20,,markets,1
21,,moment,1
22,,enjoy,1
23,,h9ucyyfXJz,1
24,,7h8SKcErAs,1
25,,organized,1
26,,Zealy,1
27,,sprint,1
28,,suipiens,1
29,,reward,1
30,,worth,1
31,,SCB,1
32,,top,1
33,,leaderboards,1
34,,Join,1
35,,LaJSN15p31,1
36,,iybZHLPeQG,1
37,,decentralized,1
38,,market,1
39,,launched,1
40,,mainnet,1
41,,days,1
42,,ago,1
43,,offering,1
44,,many,1
45,,new,1
46,,users,1
47,,Dive,1
48,,thread,1
49,,details,1
50,,snag,1
51,,G8trVAo69X,1
52,,RT,1
53,,flipped,1
54,,BTC,1
55,,TVL,1
56,,ranks,1
57,,13th,1
58,,among,1
59,,chains,1
60,,per,1
61,,DefiLlama,1
62,,broke,1
63,,300M,1
64,,showing,1
65,,tremendous,1
66,,growth,1
67,,recent,1
68,,times,1
69,,see,1
70,,perfect,1
71,,example,1
72,,main,1
73,,lunchepad,1
74,,Take,1
75,,SeaPad_defi,1
76,,achieved,1
77,,first,1
78,,months,1
