,profiles,kw,count
0,SuiInsights,co,5
1,,Sui,4
2,,SuiNetwork,3
3,,RT,2
4,,Ecosystem,2
5,,suinalliance,1
6,,Something,1
7,,cooking,1
8,,SuiN,1
9,,BuildOnSui,1
10,,Mysten_Labs,1
11,,Ji3hlxJTNM,1
12,,partnering,1
13,,StorkOracle,1
14,,decentralized,1
15,,high,1
16,,performance,1
17,,oracle,1
18,,built,1
19,,ultra,1
20,,low,1
21,,latency,1
22,,trading,1
23,,empoweri,1
24,,Congratulations,1
25,,reaching,1
26,,300M,1
27,,TVL,1
28,,LoTV3ryC8U,1
29,,Read,1
30,,navi_protocol,1
31,,Mainner,1
32,,Milestones,1
33,,Q4,1
34,,Recap,1
35,,link,1
36,,tDrEHndaOc,1
37,,explored,1
38,,Scallop_io,1
39,,Swap,1
40,,powered,1
41,,AftermathFi,1
42,,hGM8FhqfLT,1
43,,WEEKLY,1
44,,RECAP,1
45,,Let,1
46,,take,1
47,,look,1
48,,highlights,1
49,,last,1
50,,week,1
51,,amp,1
52,,support,1
53,,us,1
54,,jIczd5tNvJ,1
