,profiles,kw,count
0,SupraOracles,Supra,16
1,,co,8
2,,program,3
3,,across,3
4,,rewards,3
5,,Spartans,3
6,,gas,3
7,,fees,3
8,,less,3
9,,innovation,3
10,,data,3
11,,bounties,3
12,,need,2
13,,know,2
14,,ambassador,2
15,,Ready,2
16,,Web3,2
17,,awesome,2
18,,Blockchain,2
19,,Co,2
20,,Vinny,2
21,,time,2
22,,network,2
23,,liquidity,2
24,,lower,2
25,,real,2
26,,Noves,2
27,,SupraOracles,2
28,,announce,2
29,,Step,2
30,,frontlines,2
31,,tribe,2
32,,opportunity,2
33,,earn,2
34,,Spartan,1
35,,jg0ZiPtzpB,1
36,,sprint,1
37,,earning,1
38,,incredible,1
39,,first,1
40,,cohort,1
41,,embark,1
42,,journey,1
43,,limited,1
44,,spots,1
45,,grabs,1
46,,never,1
47,,fDzFioL04P,1
48,,loved,1
49,,connecting,1
50,,Berkley,1
51,,CalBlockchain,1
52,,crew,1
53,,BBX,1
54,,great,1
55,,people,1
56,,attended,1
57,,Founder,1
58,,JonEvansJones,1
59,,VP,1
60,,Ecosystem,1
61,,Chen,1
62,,jockinVC,1
63,,UCBerkeley,1
64,,Xcelerator,1
65,,rocked,1
66,,sweet,1
67,,socks,1
68,,lxOpvDNfzI,1
69,,Higher,1
70,,benefit,1
71,,Noves',1
72,,advanced,1
73,,simplification,1
74,,techniques,1
75,,utilize,1
76,,Oracles,1
77,,improve,1
78,,product,1
79,,offerings,1
80,,Learn,1
81,,fXDLWp5L8x,1
82,,excited,1
83,,partnered,1
84,,Noves_fi,1
85,,translated,1
86,,blockchain,1
87,,services,1
88,,provider,1
89,,simplifies,1
90,,landscape,1
91,,smart,1
92,,contracts,1
93,,transactions,1
94,,making,1
95,,manageable,1
96,,accessible,1
97,,ob65itG7So,1
98,,Complete,1
99,,Earn,1
100,,tokens,1
101,,NFTs,1
102,,merch,1
103,,Unleash,1
104,,Potential,1
105,,take,1
106,,tech,1
107,,community,1
108,,content,1
109,,lot,1
110,,4VlNTVUJ0M,1
111,,bounty,1
112,,Welcome,1
113,,gives,1
114,,token,1
115,,unique,1
116,,grab,1
117,,chance,1
118,,represent,1
119,,regions,1
120,,social,1
121,,channels,1
122,,elite,1
123,,handpicked,1
124,,team,1
125,,WSjfuUH6vv,1
126,,one,1
127,,day,1
128,,kicking,1
129,,new,1
130,,tailored,1
131,,Seize,1
132,,tip,1
133,,spear,1
134,,ready,1
135,,strike,1
136,,iron,1
137,,still,1
138,,hot,1
139,,smuSVdcAzU,1
140,,RT,1
141,,XenobunnyX,1
142,,𝗠𝗮𝗷𝗼𝗿,1
143,,𝗣𝗮𝗿𝘁𝗻𝗲𝗿𝘀𝗵𝗶𝗽,1
144,,𝗔𝗻𝗻𝗼𝘂𝗻𝗰𝗲𝗺𝗲𝗻𝘁,1
145,,Thrilled,1
146,,partnership,1
147,,Xenobunny,1
148,,leveraged,1
149,,VRF,1
150,,Forged,1
151,,battlegrounds,1
152,,chosen,1
153,,warriors,1
154,,soon,1
155,,step,1
156,,armor,1
157,,read,1
158,,technology,1
159,,prepare,1
160,,battle,1
161,,Find,1
162,,January,1
163,,drop,1
164,,guesses,1
165,,coming,1
166,,8wDpX59ixy,1
