,profiles,kw,count
0,SwappiDEX,Swappi,4
1,,co,4
2,,new,3
3,,Conflux,3
4,,announce,2
5,,Rune,2
6,,World,2
7,,incredible,2
8,,RT,2
9,,Conflux_Network,2
10,,community,2
11,,pleased,1
12,,token,1
13,,CFXs,1
14,,listed,1
15,,exchange,1
16,,Dive,1
17,,wallets,1
18,,created,1
19,,mint,1
20,,eSpace,1
21,,items,1
22,,See,1
23,,full,1
24,,announcement,1
25,,QlwlQOeXYL,1
26,,Something,1
27,,coming,1
28,,Tune,1
29,,Friday,1
30,,4AM,1
31,,ET,1
32,,y4vuvJhgsf,1
33,,news,1
34,,continues,1
35,,grow,1
36,,leaps,1
37,,bounds,1
38,,Congratulations,1
39,,Winners,1
40,,participants,1
41,,Holiday,1
42,,Quest,1
43,,Contest,1
44,,success,1
45,,visiting,1
46,,newest,1
47,,AMA,1
48,,Join,1
49,,Matt,1
50,,Head,1
51,,Marketing,1
52,,introduces,1
53,,Arabic,1
54,,answers,1
55,,questions,1
56,,xQomGTjKGf,1
57,,aE3p7LCRzL,1
58,,Exciting,1
59,,Partnership,1
60,,thrilled,1
61,,collaboration,1
62,,Web3SpaceNW,1
63,,U_HackWeb3,1
64,,U,1
65,,Hack,1
