,profiles,kw,count
0,SynapseProtocol,co,5
1,,RFQ,4
2,,bridging,3
3,,Try,2
4,,vc00NClYJx,2
5,,chains,2
6,,assets,2
7,,bigger,2
8,,size,2
9,,coming,2
10,,soon,2
11,,Read,2
12,,Synapse,2
13,,live,2
14,,relayers,2
15,,RT,1
16,,SynapseProtocol,1
17,,b,1
18,,fits,1
19,,vision,1
20,,wLfyM5BoUt,1
21,,briding,1
22,,biggest,1
23,,upgrade,1
24,,launched,1
25,,Bridge,1
26,,instantly,1
27,,10x,1
28,,cheaper,1
29,,today,1
30,,Optimism,1
31,,arbitrum,1
32,,ethereum,1
33,,USDC,1
34,,10k,1
35,,Feels,1
36,,magic,1
37,,second,1
38,,best,1
39,,KUAhb6Zeid,1
40,,bridge,1
41,,transaction,1
42,,turns,1
43,,auction,1
44,,compete,1
45,,give,1
46,,users,1
47,,fastest,1
48,,time,1
49,,cheapest,1
50,,price,1
51,,LzmeEBc6p4,1
52,,gm,1
53,,finally,1
54,,afford,1
55,,Twitter,1
56,,gold,1
