,profiles,kw,count
0,Synquote,week,4
1,,BTC,3
2,,put,3
3,,last,2
4,,remain,2
5,,popular,2
6,,co,2
7,,market,2
8,,ETF,2
9,,One,1
10,,common,1
11,,trades,1
12,,Synquote,1
13,,proved,1
14,,highly,1
15,,profitable,1
16,,dropped,1
17,,41K,1
18,,settlement,1
19,,End,1
20,,Jan,1
21,,start,1
22,,Feb,1
23,,puts,1
24,,Many,1
25,,speculate,1
26,,recent,1
27,,drawdowns,1
28,,due,1
29,,GBTC,1
30,,redemptions,1
31,,oTykxao7rp,1
32,,Going,1
33,,live,1
34,,one,1
35,,hour,1
36,,Set,1
37,,reminders,1
38,,tune,1
39,,Tune,1
40,,discussion,1
41,,TheFlowHorse,1
42,,Thursday,1
43,,1PM,1
44,,ET,1
45,,covering,1
46,,Post,1
47,,price,1
48,,action,1
49,,outlook,1
50,,Altcoin,1
51,,spotlight,1
52,,Options,1
53,,flows,1
54,,See,1
55,,oTykxanzBR,1
56,,Friday,1
57,,drawdown,1
58,,traders,1
59,,anticipating,1
60,,sell,1
61,,news',1
62,,event,1
63,,post,1
64,,approval,1
65,,profited,1
66,,handsomely,1
67,,January,1
68,,19th,1
69,,spreads,1
70,,25M,1
71,,volume,1
72,,alone,1
