,profiles,kw,count
0,TeamKujira,Kujira,5
1,,co,3
2,,products,3
3,,team,3
4,,VvoF1luTdD,2
5,,HelixApp_,2
6,,community,2
7,,token,2
8,,protocol,2
9,,us,2
10,,nature,2
11,,DeFi,2
12,,KUJI,2
13,,article,2
14,,discussing,2
15,,future,2
16,,answer,2
17,,Set,1
18,,reminder,1
19,,upcoming,1
20,,Space,1
21,,want,1
22,,hear,1
23,,purchase,1
24,,premium,1
25,,using,1
26,,Bonds,1
27,,Please,1
28,,leave,1
29,,comment,1
30,,tagging,1
31,,cash,1
32,,tag,1
33,,let,1
34,,know,1
35,,winning,1
36,,used,1
37,,highlight,1
38,,utility,1
39,,leveraged,1
40,,LPs,1
41,,unlock,1
42,,Massive,1
43,,thank,1
44,,Fuzion_App,1
45,,making,1
46,,possible,1
47,,highlighting,1
48,,composable,1
49,,USK,1
50,,FUZN,1
51,,bombshell,1
52,,dropped,1
53,,Tuesday,1
54,,figured,1
55,,announce,1
56,,something,1
57,,one,1
58,,must,1
59,,read,1
60,,communities,1
61,,founders,1
62,,thrilled,1
63,,invite,1
64,,special,1
65,,Twitter,1
66,,Spaces,1
67,,session,1
68,,latest,1
69,,milestone,1
70,,listing,1
71,,Join,1
72,,deep,1
73,,dive,1
74,,plans,1
75,,Date,1
76,,Friday,1
77,,January,1
78,,Time,1
79,,EST,1
80,,miss,1
81,,engaging,1
82,,GvLQHsCeJa,1
83,,believe,1
84,,core,1
85,,Team,1
86,,developments,1
87,,question,1
88,,quiet,1
89,,confident,1
90,,query,1
91,,important,1
92,,note,1
93,,human,1
94,,behind,1
95,,machine,1
96,,become,1
97,,years,1
98,,flat,1
99,,single,1
100,,day,1
101,,provide,1
102,,value,1
103,,build,1
104,,people,1
105,,actually,1
106,,use,1
107,,Naturally,1
108,,needed,1
109,,short,1
110,,break,1
111,,holidays,1
112,,recoup,1
113,,regather,1
114,,back,1
115,,better,1
116,,ready,1
117,,make,1
118,,GM,1
119,,Kujirans,1
120,,Today,1
121,,mega,1
122,,Core,1
123,,building,1
124,,look,1
125,,roadmap,1
126,,contributions,1
127,,external,1
128,,ecosystem,1
129,,final,1
130,,destination,1
131,,comprehensive,1
132,,suite,1
