,profiles,kw,count
0,TheApeAntCrypto,MICKEY,4
1,,RT,3
2,,SBWMickeyERC,2
3,,crypto_popseye,1
4,,UR,1
5,,SOLANA,1
6,,THERES,1
7,,ABSOLUTELY,1
8,,REAONS,1
9,,U,1
10,,SHOULDNT,1
11,,USING,1
12,,BANANA,1
13,,BOT,1
14,,LAUNCHED,1
15,,TODAY,1
16,,EXCLUSIVE,1
17,,FEATURES,1
18,,dont,1
19,,fade,1
20,,Version,1
21,,Steamboat,1
22,,Willie,1
23,,website,1
24,,live,1
25,,Users,1
26,,use,1
27,,fiat,1
28,,acquire,1
29,,straight,1
30,,gmickey,1
31,,bulls,1
32,,coming,1
33,,play,1
34,,today,1
35,,co,1
36,,NGoXsA8vr4,1
