,profiles,kw,count
0,ThenaFi_,THENA,13
1,,RT,13
2,,co,7
3,,BNBCHAIN,6
4,,ThenaFi_,6
5,,liquidity,4
6,,rewards,4
7,,know,3
8,,BNB,3
9,,DeFi,3
10,,Work,3
11,,BEST,2
12,,ecosystem,2
13,,extensive,2
14,,support,2
15,,us,2
16,,concentrated,2
17,,AMM,2
18,,plugins,2
19,,Hackathon,2
20,,best,2
21,,ideas,2
22,,Q1,2
23,,token,2
24,,long,2
25,,term,2
26,,Let,2
27,,orbs_network,2
28,,VeThe,2
29,,holders,2
30,,smart,2
31,,earn,2
32,,Build,1
33,,BNBChain,1
34,,build,1
35,,right,1
36,,Quality,1
37,,projects,1
38,,deploying,1
39,,access,1
40,,grants,1
41,,largest,1
42,,userbase,1
43,,Web3,1
44,,serve,1
45,,LIQUIDITY,1
46,,amp,1
47,,GROWTH,1
48,,needs,1
49,,touch,1
50,,today,1
51,,using,1
52,,chat,1
53,,bubble,1
54,,VYLzzRFk6R,1
55,,calling,1
56,,innovative,1
57,,minds,1
58,,join,1
59,,reshaping,1
60,,aka,1
61,,hooks,1
62,,proud,1
63,,sponsor,1
64,,Apply,1
65,,Feb,1
66,,cbtqNMe8C8,1
67,,j0lLufrCbw,1
68,,remember_the_n,1
69,,Epoch,1
70,,stats,1
71,,liveTHE,1
72,,dominance,1
73,,ATH,1
74,,opBNB,1
75,,incentives,1
76,,awarded,1
77,,Roadmap,1
78,,revealed,1
79,,Airdrops,1
80,,AL,1
81,,Day,1
82,,BNBChainHackathon2024,1
83,,Ready,1
84,,take,1
85,,skills,1
86,,next,1
87,,level,1
88,,Dive,1
89,,deep,1
90,,Challenge,1
91,,Tracks,1
92,,AI,1
93,,Ace_da_Book,1
94,,Building,1
95,,class,1
96,,products,1
97,,supersedes,1
98,,concerns,1
99,,look,1
100,,example,1
101,,dex,1
102,,l,1
103,,_optimus15,1
104,,actually,1
105,,transformed,1
106,,promising,1
107,,start,1
108,,powerhou,1
109,,week,1
110,,Anniversary,1
111,,Space,1
112,,showcased,1
113,,year,1
114,,achievements,1
115,,launch,1
116,,FUSION,1
117,,ALPHA,1
118,,investment,1
119,,discussion,1
120,,featuring,1
121,,twojewoda,1
122,,cryp_tomr,1
123,,delved,1
124,,user,1
125,,metrics,1
126,,performance,1
127,,security,1
128,,1EQNENzPa1,1
129,,odiummm,1
130,,become,1
131,,voting,1
132,,god,1
133,,Thena,1
134,,ve3,1
135,,protocol,1
136,,lock,1
137,,Use,1
138,,vote,1
139,,weeky,1
140,,CryptoAlfafa,1
141,,recently,1
142,,released,1
143,,roadmap,1
144,,share,1
145,,views,1
146,,short,1
147,,catalysts,1
148,,kind,1
149,,looking,1
150,,Chain,1
151,,Check,1
152,,opening,1
153,,ceremony,1
154,,explore,1
155,,DefiEdge,1
156,,strategies,1
157,,establish,1
158,,symbiotic,1
159,,relationship,1
160,,LPs,1
161,,aiming,1
162,,mitigate,1
163,,impermanent,1
164,,loss,1
165,,maintaining,1
166,,profitability,1
167,,Deposits,1
168,,open,1
169,,Learn,1
170,,x75vi26C3V,1
171,,42m4ES66aY,1
172,,JohannesSK1,1
173,,Welcome,1
174,,Newcomers,1
175,,future,1
176,,regulars,1
177,,thread,1
178,,dive,1
179,,essentials,1
180,,discov,1
181,,inception,1
182,,JAN,1
183,,generated,1
184,,12M,1
185,,total,1
186,,revenue,1
187,,going,1
188,,veTHE,1
189,,theNFT,1
190,,One,1
191,,key,1
192,,success,1
193,,simple,1
194,,yet,1
195,,elegant,1
196,,self,1
197,,optimizing,1
198,,tokenomics,1
199,,model,1
200,,contributing,1
201,,participants,1
202,,Medium,1
203,,goes,1
204,,HrYQTBcMoY,1
205,,Minnal40954780,1
206,,powerful,1
207,,Dex,1
208,,introduction,1
209,,hub,1
210,,powered,1
211,,TheDiscreetHero,1
212,,world,1
213,,one,1
214,,project,1
215,,gaining,1
216,,lot,1
217,,attention,1
218,,exactly,1
219,,COMMUNITY,1
220,,bowtiedsimoun,1
221,,Making,1
222,,life,1
223,,changing,1
224,,gains,1
225,,main,1
226,,reason,1
227,,began,1
228,,journey,1
229,,attest,1
230,,revolutionary,1
231,,layer,1
232,,leveraging,1
233,,decentralized,1
234,,emissions,1
235,,redefine,1
236,,way,1
237,,interact,1
238,,STORY,1
239,,Two,1
240,,years,1
241,,ago,1
242,,came,1
243,,together,1
244,,group,1
245,,top,1
246,,protocols,1
247,,bound,1
248,,shared,1
249,,vision,1
250,,create,1
251,,mikku9877,1
252,,great,1
253,,hard,1
254,,extraordinary,1
