,profiles,kw,count
0,Thorshammergems,co,48
1,,entry,6
2,,dip,6
3,,market,6
4,,TG,5
5,,calls,5
6,,8n17Nx2hwV,5
7,,hit,5
8,,MYRO,4
9,,reached,4
10,,MYLO,4
11,,many,3
12,,well,3
13,,nicely,3
14,,far,3
15,,going,3
16,,chart,3
17,,looking,3
18,,big,3
19,,Listed,3
20,,crypto,3
21,,ATH,3
22,,SOLAMA,3
23,,KgcW5KO9ZA,3
24,,Join,3
25,,Send,2
26,,one,2
27,,Men9uBnY2Z,2
28,,Remember,2
29,,join,2
30,,people,2
31,,MYRA,2
32,,Y3FP3hSHyp,2
33,,SOL,2
34,,play,2
35,,brother,2
36,,see,2
37,,Shill,2
38,,memecoins,2
39,,good,2
40,,earlier,2
41,,today,2
42,,miner,2
43,,CMC,2
44,,vMINT,2
45,,say,2
46,,impressed,2
47,,provide,2
48,,AI,2
49,,making,2
50,,solution,2
51,,high,2
52,,potential,2
53,,imo,2
54,,MexC,2
55,,partnered,2
56,,GateIO,2
57,,Kucoin,2
58,,Bybit,2
59,,OKX,2
60,,PAAL,2
61,,players,2
62,,Seems,2
63,,undervalued,2
64,,PANTS,2
65,,call,2
66,,Good,2
67,,volume,2
68,,MagicSquareio,2
69,,RT,2
70,,NakamotoGames,2
71,,NAKAPUNK,2
72,,Collection,2
73,,4M,2
74,,1M,2
75,,E84fX7HQ8m,2
76,,GM,2
77,,season,2
78,,around,2
79,,everything,1
80,,h4Kzm7JwmU,1
81,,officially,1
82,,1000X,1
83,,first,1
84,,come,1
85,,320M,1
86,,1066X,1
87,,300K,1
88,,230M,1
89,,CswKfq5h59,1
90,,qgVBqjOl59,1
91,,Lmao,1
92,,little,1
93,,talking,1
94,,bear,1
95,,pussy,1
96,,accumulation,1
97,,bull,1
98,,5X,1
99,,Seeing,1
100,,buying,1
101,,runner,1
102,,earliest,1
103,,oiui6VHIsF,1
104,,moving,1
105,,2X,1
106,,xoD08OO0dV,1
107,,Revival,1
108,,Narrative,1
109,,flying,1
110,,wife,1
111,,let,1
112,,1TMPUWTYpi,1
113,,TVlRx6EqPA,1
114,,hSyB8PcGf8,1
115,,make,1
116,,MINU,1
117,,BSC,1
118,,breakout,1
119,,Basically,1
120,,giving,1
121,,daily,1
122,,return,1
123,,form,1
124,,BNB,1
125,,CG,1
126,,160K,1
127,,8cvbLP3l2f,1
128,,HbuHoQGwzF,1
129,,iGu0GlAqbz,1
130,,Ir2jEUweXw,1
131,,nRbzb8q5x1,1
132,,d9EDhiFfPJ,1
133,,conviction,1
134,,hold,1
135,,reversal,1
136,,800K,1
137,,6X,1
138,,YVeWzdsjUL,1
139,,580K,1
140,,dog,1
141,,wif,1
142,,JvrNQMVnQ0,1
143,,ks3GA1Rkcc,1
144,,Beautiful,1
145,,SFARM,1
146,,launch,1
147,,3M,1
148,,6ohQiI5j5w,1
149,,FhDc0OW5hd,1
150,,ypv0f7NNnm,1
151,,ub6YPWcH1t,1
152,,2M,1
153,,clean,1
154,,80X,1
155,,higher,1
156,,Kzmvq6g0VM,1
157,,SQR,1
158,,picking,1
159,,clearly,1
160,,surges,1
161,,even,1
162,,USD,1
163,,hours,1
164,,back,1
165,,think,1
166,,guys,1
167,,shot,1
168,,massive,1
169,,backing,1
170,,trying,1
171,,KZzjyglGww,1
172,,exclusive,1
173,,NFT,1
174,,owner,1
175,,ability,1
176,,transform,1
177,,NAK,1
178,,52X,1
179,,GIwCL9GE6V,1
180,,happy,1
181,,Sunday,1
182,,investors,1
183,,except,1
184,,jeets,1
185,,Well,1
186,,wrong,1
187,,god,1
188,,insane,1
189,,run,1
190,,185M,1
191,,616X,1
192,,Parabolic,1
193,,mode,1
194,,activated,1
195,,150M,1
196,,oRoOyt85pf,1
197,,Altcoin,1
198,,melt,1
199,,faces,1
200,,long,1
201,,term,1
202,,project,1
203,,watching,1
204,,immersive,1
205,,discovery,1
206,,amp,1
207,,engagement,1
208,,Platform,1
209,,web3,1
210,,ecosystem,1
211,,providing,1
212,,users,1
213,,community,1
214,,vetted,1
215,,apps,1
216,,games,1
217,,gone,1
218,,unnoticed,1
219,,raised,1
220,,22M,1
221,,daomaker,1
222,,managed,1
223,,secure,1
224,,MMxQjeAZCr,1
225,,15X,1
226,,retraced,1
227,,bit,1
228,,working,1
229,,way,1
230,,previous,1
231,,700K,1
232,,listed,1
233,,game,1
234,,coming,1
235,,next,1
236,,week,1
237,,8OhRjFA1cG,1
238,,pumpooors,1
239,,corner,1
240,,street,1
241,,move,1
242,,brings,1
243,,us,1
244,,closer,1
245,,goal,1
246,,achieving,1
247,,global,1
248,,mass,1
249,,adoption,1
250,,integration,1
251,,telegram,1
252,,exposes,1
253,,mi,1
254,,9MM,1
255,,Shigure,1
256,,ticker,1
257,,grabbed,1
258,,bag,1
259,,Nice,1
260,,branding,1
261,,website,1
262,,Chart,1
263,,seems,1
264,,decent,1
265,,430K,1
266,,gNvB3sB82k,1
267,,tcW27MAq67,1
268,,GGwP1DGtWp,1
269,,Zh2pvRsIug,1
270,,ORYM,1
271,,8M,1
272,,13X,1
273,,Community,1
274,,fire,1
275,,oJw358XZDj,1
276,,x6stT2Y3lY,1
277,,fam,1
278,,sell,1
279,,news,1
280,,event,1
281,,pump,1
282,,HRklEzDjfg,1
