,profiles,kw,count
0,ToeiAnimation,co,13
1,,RT,8
2,,ONEPIECE,7
3,,Digimon,4
4,,ep,4
5,,episode,4
6,,Hello,3
7,,via,3
8,,Egghead,3
9,,simulcast,3
10,,PRECURE,3
11,,digimon_tcg_EN,2
12,,Tamers,2
13,,next,2
14,,Card,2
15,,Game,2
16,,Advanced,2
17,,Deck,2
18,,Set,2
19,,popular,2
20,,Fusion,2
21,,World,2
22,,available,2
23,,Ticket,2
24,,OnePieceAnime,2
25,,Play,2
26,,free,2
27,,latest,2
28,,years,2
29,,island,2
30,,Crunchyroll,2
31,,new,2
32,,Sky,2
33,,protect,2
34,,city,2
35,,Beta,2
36,,Test,2
37,,Dragon,2
38,,Ball,2
39,,March,1
40,,Regionals,1
41,,Take,1
42,,step,1
43,,competitive,1
44,,events,1
45,,joining,1
46,,Reg,1
47,,ST17,1
48,,Double,1
49,,Typhoon,1
50,,featuring,1
51,,Dr,1
52,,Vegapunk,1
53,,arrived,1
54,,mitOcHZoAs,1
55,,DB_official_en,1
56,,Ultimate,1
57,,Battle,1
58,,Official,1
59,,Event,1
60,,Coming,1
61,,DRAGON,1
62,,BALL,1
63,,SUPER,1
64,,CARD,1
65,,GAME,1
66,,vqYLlarVTF,1
67,,dragonb,1
68,,db_eventpj,1
69,,Due,1
70,,demand,1
71,,increased,1
72,,number,1
73,,Visitor,1
74,,registration,1
75,,open,1
76,,ONE,1
77,,PIECE,1
78,,PIRATE,1
79,,WARRIORS,1
80,,Xbox,1
81,,Days,1
82,,January,1
83,,enjoy,1
84,,character,1
85,,326CtyDUrb,1
86,,Remember,1
87,,reunited,1
88,,Goku,1
89,,gang,1
90,,past,1
91,,DragonBallZ,1
92,,mRSdQg0LmW,1
93,,name,1
94,,Episode,1
95,,streaming,1
96,,mlfeVgCjyE,1
97,,I98afAnItr,1
98,,ICYMI,1
99,,see,1
100,,Opening,1
101,,sequence,1
102,,arc,1
103,,yet,1
104,,H4Utu72A3a,1
105,,Maybe,1
106,,goofiest,1
107,,emperor,1
108,,OnePiece,1
109,,UIxQAXwBiZ,1
110,,ago,1
111,,today,1
112,,Ace,1
113,,told,1
114,,us,1
115,,Thank,1
116,,bn76isky41,1
117,,Empress,1
118,,goes,1
119,,self,1
120,,destructive,1
121,,mission,1
122,,Cure,1
123,,Watch,1
124,,newest,1
125,,SOARING,1
126,,Heroes,1
127,,Everyone,1
128,,Ew19hBHEg9,1
129,,Happy,1
130,,birthday,1
131,,Mayumi,1
132,,Tanaka,1
133,,AdOSNqH1ce,1
134,,dbfw_cardgameEN,1
135,,Announcement,1
136,,fans,1
137,,Digital,1
138,,ver,1
139,,Open,1
140,,Straw,1
141,,Hats,1
142,,face,1
143,,powerful,1
144,,force,1
145,,sea,1
146,,end,1
147,,unknown,1
148,,offer,1
149,,either,1
150,,hope,1
151,,despair,1
152,,begins,1
153,,tonight,1
154,,original,1
155,,Japanese,1
156,,broadcast,1
157,,ArKutOcnZA,1
158,,NetflixAnime,1
159,,Netflix,1
160,,New,1
161,,One,1
162,,Piece,1
163,,Arc,1
164,,weekly,1
165,,Kingdom,1
166,,Lulusia,1
167,,country,1
168,,yio0L45hat,1
