,profiles,kw,count
0,TokenBrice,RT,4
1,,liquidity,2
2,,DeFiCollective_,2
3,,0xDYAD,2
4,,Maverick,2
5,,Liquidity,2
6,,amp,2
7,,co,2
8,,gt,1
9,,DeFi,1
10,,managers,1
11,,fully,1
12,,understood,1
13,,explained,1
14,,video,1
15,,consequences,1
16,,management,1
17,,strategy,1
18,,wasting,1
19,,resources,1
20,,subpar,1
21,,DEXes,1
22,,late,1
23,,date,1
24,,spill,1
25,,alpha,1
26,,Collective,1
27,,three,1
28,,months,1
29,,old,1
30,,growing,1
31,,fast,1
32,,time,1
33,,reflect,1
34,,achieved,1
35,,far,1
36,,Today,1
37,,DYAD,1
38,,adds,1
39,,first,1
40,,yield,1
41,,bearing,1
42,,collateral,1
43,,wstETH,1
44,,friends,1
45,,LidoFinance,1
46,,claim,1
47,,Note,1
48,,NFT,1
49,,deposit,1
50,,mavprotocol,1
51,,Introducing,1
52,,Protocol,1
53,,Shaping,1
54,,Tutorial,1
55,,go,1
56,,solution,1
57,,tokens,1
58,,LRT,1
59,,latest,1
60,,monthly,1
61,,report,1
62,,new,1
63,,ATHs,1
64,,resilience,1
65,,maximized,1
66,,projects,1
67,,benefitting,1
68,,ants',1
69,,embrace,1
70,,shoutout,1
71,,PoolTogether_,1
72,,Ants,1
73,,gently,1
74,,snowballing,1
75,,colony,1
76,,designed,1
77,,support,1
78,,public,1
79,,goods,1
80,,LuchadoresNFT,1
81,,gm,1
82,,Luchadores,1
83,,officially,1
84,,part,1
85,,Buidl,1
86,,Polygon,1
87,,funding,1
88,,round,1
89,,Giveth,1
90,,WUeY5mV1mM,1
91,,binding,1
92,,Twitter,1
93,,account,1
94,,Web3,1
95,,Profile,1
96,,DeBankDeFi,1
97,,R2kIvmaSEy,1
98,,0xaa7a9d80971e58641442774c373c94aafee87d66,1
99,,DeBank,1
