,profiles,kw,count
0,TsunamiFinance_,co,16
1,,TsunamiX,14
2,,amp,10
3,,MNT,7
4,,Trade,6
5,,RT,5
6,,0P7YKL4JYZ,4
7,,TsunamiFinance_,4
8,,points,4
9,,referral,4
10,,real,3
11,,yield,3
12,,0xMantle,3
13,,BTC,3
14,,ETH,3
15,,daily,3
16,,PYTH,3
17,,Swap,2
18,,50x,2
19,,leverage,2
20,,LP,2
21,,Access,2
22,,66Lxkkx80V,2
23,,Discord,2
24,,qgzwLzJpO9,2
25,,Network,2
26,,ecosystem,2
27,,project,2
28,,role,2
29,,margin,2
30,,first,2
31,,OG,2
32,,xrm9Z4YaJu,2
33,,participating,2
34,,streaks,2
35,,qualify,2
36,,mainnet,2
37,,end,2
38,,Season,2
39,,earn,2
40,,Earn,2
41,,raffle,2
42,,stableunitdao,2
43,,Program,2
44,,gt,2
45,,participate,1
46,,product,1
47,,liquid,1
48,,pricing,1
49,,cryptos,1
50,,top,1
51,,markets,1
52,,soon,1
53,,Docs,1
54,,proud,1
55,,announce,1
56,,partnership,1
57,,Mantle,1
58,,funded,1
59,,received,1
60,,direct,1
61,,investment,1
62,,fund,1
63,,fulfill,1
64,,preferred,1
65,,trading,1
66,,platform,1
67,,Raffle,1
68,,winner,1
69,,0x117f467f1dbf46babed528876be980d1471376e8,1
70,,Congrats,1
71,,reward,1
72,,Please,1
73,,come,1
74,,well,1
75,,claim,1
76,,Wave,1
77,,raffles,1
78,,Ts,1
79,,CryptoRudiments,1
80,,happy,1
81,,share,1
82,,friends,1
83,,live,1
84,,trade,1
85,,spot,1
86,,w,1
87,,days,1
88,,left,1
89,,minimum,1
90,,must,1
91,,earned,1
92,,eligible,1
93,,rewards,1
94,,potentially,1
95,,FY4r8Ek49O,1
96,,VUttZOsReC,1
97,,USDC,1
98,,JUll97Q1P7,1
99,,Want,1
100,,know,1
101,,Check,1
102,,public,1
103,,docs,1
104,,Link,1
105,,feel,1
106,,earning,1
107,,APR,1
108,,week,1
109,,RqxZnkpAHW,1
110,,takes,1
111,,places,1
112,,Friday,1
113,,PM,1
114,,UTC,1
115,,special,1
116,,guest,1
117,,PythNetwork,1
118,,1H,1
119,,LEFT,1
120,,Join,1
121,,us,1
122,,LIVE,1
123,,fees,1
124,,rebates,1
125,,discounts,1
126,,generate,1
127,,link,1
128,,today,1
129,,m7NlU2TMk4,1
130,,mfckr_eth,1
131,,expanding,1
132,,utilities,1
133,,watched,1
134,,grow,1
135,,years,1
136,,Dapp,1
137,,undervalued,1
138,,Use,1
139,,incentives,1
140,,MantleJourney,1
141,,miles,1
142,,vlJh8I3bM3,1
143,,GM,1
144,,Penguins,1
145,,hosting,1
146,,new,1
147,,Twitter,1
148,,Space,1
149,,next,1
150,,Monday,1
151,,discuss,1
152,,recent,1
153,,launch,1
