,profiles,kw,count
0,TyrogueD,last,3
1,,crypto,3
2,,cycle,3
3,,still,3
4,,RT,3
5,,ETH,3
6,,yes,3
7,,year,2
8,,heavily,2
9,,market,2
10,,go,2
11,,fuelled,2
12,,credit,2
13,,expansion,2
14,,additional,2
15,,showerthought,2
16,,us,2
17,,bear,2
18,,ptsd,2
19,,gonna,2
20,,outperformed,2
21,,absolute,2
22,,60IQ,2
23,,morons,2
24,,joining,2
25,,late,2
26,,shit,2
27,,never,2
28,,new,2
29,,time,2
30,,good,2
31,,great,2
32,,USD,2
33,,terms,2
34,,folk,2
35,,various,2
36,,happen,2
37,,yet,2
38,,account,2
39,,CT,2
40,,phrase,1
41,,neigong,1
42,,teacher,1
43,,said,1
44,,start,1
45,,practice,1
46,,think,1
47,,applies,1
48,,current,1
49,,stage,1
50,,experiencing,1
51,,right,1
52,,paddling,1
53,,water,1
54,,largely,1
55,,PVP,1
56,,many,1
57,,ways,1
58,,OHM,1
59,,TIME,1
60,,ponzis,1
61,,within,1
62,,DeFi,1
63,,towards,1
64,,end,1
65,,expect,1
66,,NFTs,1
67,,massive,1
68,,well,1
69,,bubble,1
70,,epic,1
71,,TyrogueD,1
72,,manage,1
73,,sell,1
74,,top,1
75,,ape,1
76,,imagine,1
77,,pumping,1
78,,heights,1
79,,rub,1
80,,faces,1
81,,important,1
82,,suppose,1
83,,people,1
84,,actually,1
85,,read,1
86,,tweets,1
87,,gotten,1
88,,used,1
89,,shitpost,1
90,,sudden,1
91,,blast,1
92,,high,1
93,,quality,1
94,,threads,1
95,,nowhere,1
96,,spur,1
97,,moment,1
98,,Catch,1
99,,mode,1
100,,question,1
101,,usually,1
102,,pump,1
103,,Pudgies,1
104,,interesting,1
105,,play,1
106,,tbh,1
107,,bought,1
108,,day,1
109,,3AC,1
110,,collapse,1
111,,2x,1
112,,value,1
113,,18x,1
114,,35x,1
115,,Napkin,1
116,,math,1
117,,come,1
118,,slightly,1
119,,took,1
120,,say,1
121,,aths,1
122,,cooked,1
123,,type,1
124,,look,1
125,,developing,1
126,,economies,1
127,,across,1
128,,globe,1
129,,proclaim,1
130,,apocalypse,1
131,,Western,1
132,,countries,1
133,,starting,1
134,,face,1
135,,political,1
136,,economic,1
137,,problems,1
138,,Last,1
139,,saw,1
140,,defi,1
141,,summer,1
142,,link,1
143,,first,1
144,,fat,1
145,,run,1
146,,digits,1
147,,Covid,1
148,,dip,1
149,,saying,1
150,,another,1
151,,black,1
152,,swan,1
153,,btw,1
154,,giving,1
155,,context,1
156,,BTC,1
157,,figures,1
158,,afterward,1
159,,greatest,1
160,,thing,1
161,,Sunset,1
162,,alpha,1
163,,studying,1
164,,takes,1
165,,mindsets,1
166,,big,1
167,,chances,1
168,,active,1
169,,probably,1
170,,already,1
171,,blocked,1
172,,tervoooo,1
173,,next,1
174,,possibly,1
175,,crazier,1
176,,normies,1
177,,paying,1
178,,money,1
179,,watch,1
180,,mmm,1
181,,ice,1
182,,cream,1
183,,g,1
184,,factorydoge69,1
185,,believe,1
186,,ye,1
187,,interview,1
188,,co,1
189,,yZbMC7jgup,1
190,,tool,1
191,,radar,1
192,,trying,1
193,,track,1
194,,influencers,1
195,,coins,1
196,,narratives,1
197,,simply,1
198,,stay,1
199,,ahead,1
200,,crowd,1
201,,Heard,1
202,,cooking,1
203,,behind,1
204,,scenes,1
