,profiles,kw,count
0,Web3Career,co,9
1,,Web3,8
2,,Apply,8
3,,Remote,6
4,,Salary,6
5,,Job,5
6,,Developer,2
7,,Assistant,2
8,,Manager,2
9,,Jobs,2
10,,Associate,2
11,,Asia,1
12,,Relations,1
13,,Quantstamp,1
14,,9rFdh2ixrb,1
15,,made,1
16,,KHONk3kDJ4,1
17,,Product,1
18,,Marketing,1
19,,HelikaAnalytics,1
20,,h3SYoJl7eV,1
21,,Toronto,1
22,,Canada,1
23,,Software,1
24,,Engineer,1
25,,Full,1
26,,Stack,1
27,,integral_xyz_,1
28,,180k,1
29,,220k,1
30,,BRGZRwwFfo,1
31,,Looking,1
32,,Junior,1
33,,job,1
34,,50k,1
35,,70k,1
36,,sideshiftai,1
37,,qSfB9lfJVO,1
38,,Executive,1
39,,Operational,1
40,,Right,1
41,,Hand,1
42,,150k,1
43,,155k,1
44,,Europe,1
45,,Moonrail,1
46,,Limited,1
47,,CSGOEmpire,1
48,,7Pdlf0vzkP,1
49,,London,1
50,,Hybrid,1
51,,Operations,1
52,,fut_networks,1
53,,30k,1
54,,45k,1
55,,tWi4EjFx1j,1
56,,Customer,1
57,,Success,1
58,,yieldschoolysl,1
59,,80k,1
60,,300k,1
61,,WngZ0voBs6,1
62,,Business,1
63,,Development,1
64,,salus_sec,1
65,,60k,1
66,,KlISPolMs6,1
