,profiles,kw,count
0,YosuNFT,co,8
1,,hard,5
2,,slap,5
3,,Good,4
4,,morning,4
5,,everyone,3
6,,Yosu,3
7,,holders,2
8,,wallpapers,2
9,,happy,1
10,,Friday,1
11,,5E2WNjQnvv,1
12,,working,1
13,,big,1
14,,partnership,1
15,,benefit,1
16,,details,1
17,,soon,1
18,,still,1
19,,fading,1
20,,anon,1
21,,Art,1
22,,Team,1
23,,R2E,1
24,,Yosus,1
25,,LFYOSU,1
26,,0uNbgwAcRF,1
27,,JXwzaywkpj,1
28,,GM,1
29,,Fun,1
30,,fact,1
31,,know,1
32,,founder,1
33,,dev,1
34,,a96Oq9bLrk,1
35,,Still,1
36,,plenty,1
37,,left,1
38,,grab,1
39,,Monday,1
40,,2ccDcKvWSj,1
41,,something,1
42,,cooking,1
43,,uzlupBRdla,1
44,,someone,1
45,,said,1
46,,vibe,1
47,,FREE,1
48,,exclusive,1
49,,art,1
50,,tech,1
51,,shake,1
52,,hands,1
53,,AstFpREjtl,1
54,,weekend,1
55,,grinders,1
56,,PV7cMkOm8O,1
