,profiles,kw,count
0,Ze_blocks,co,6
1,,Sensthesia,3
2,,art,3
3,,new,2
4,,NFTs,2
5,,Finally,1
6,,soon,1
7,,coming,1
8,,project,1
9,,called,1
10,,Pebbles,1
11,,really,1
12,,hope,1
13,,Thank,1
14,,support,1
15,,amazing,1
16,,see,1
17,,uncommon,1
18,,collection,1
19,,still,1
20,,attention,1
21,,BoeUj6RqhT,1
22,,Recent,1
23,,activity,1
24,,brought,1
25,,price,1
26,,25e,1
27,,nothing,1
28,,crazy,1
29,,take,1
30,,market,1
31,,well,1
32,,lot,1
33,,sale,1
34,,either,1
35,,look,1
36,,c2HikWj3rG,1
37,,ecSXpR1ltN,1
38,,Discover,1
39,,dynamic,1
40,,world,1
41,,Unlike,1
42,,traditional,1
43,,static,1
44,,viewing,1
45,,though,1
46,,love,1
47,,printed,1
48,,Visit,1
49,,lMBzDSpGTt,1
50,,witness,1
51,,full,1
52,,screen,1
53,,mode,1
54,,Dive,1
55,,realm,1
56,,meets,1
57,,motion,1
58,,t3OVjPL0V0,1
59,,spotlight,1
60,,audio,1
61,,sensitive,1
62,,pieces,1
63,,generative,1
64,,fully,1
65,,chain,1
66,,alive,1
67,,rhythm,1
68,,Born,1
69,,exciting,1
70,,collaboration,1
71,,FingerprintsDAO,1
72,,brings,1
73,,dimension,1
74,,digital,1
75,,Song,1
76,,WuTang,1
77,,C,1
78,,E,1
79,,M',1
80,,JYTkX1gYCJ,1
